desc,valor,metraje
4 Dormitorios en Malvin Norte,U$S 135.000,
2 Dormitorios en Peñarol,U$S 135.000,83
3 Dormitorios en Goes,U$S 135.000,100
4 Dormitorios en Belvedere,U$S 135.000,120
1 Dormitorio en Capurro,U$S 135.000,80
3 Dormitorios en Brazo Oriental,U$S 135.000,
4 Dormitorios en Buceo,U$S 135.000,196
3 Dormitorios en Bolivar,U$S 135.000,100
2 Dormitorios en Buceo,U$S 135.000,52
3 Dormitorios en Lezica,U$S 135.000,
4 Dormitorios en Nuevo Paris,U$S 135.000,120
3 Dormitorios en Jacinto Vera,U$S 135.000,
2 Dormitorios en Reducto,U$S 135.000,100
4 Dormitorios en Villa Muñoz,U$S 135.000,198
3 Dormitorios en Union,U$S 135.000,61
3 Dormitorios en Atahualpa,U$S 135.000,206
2 Dormitorios en Buceo,U$S 137.000,45
2 Dormitorios en Brazo Oriental,U$S 137.000,115
3 Dormitorios en Union,U$S 137.000,150
3 Dormitorios en Cordon,U$S 138.000,102
3 Dormitorios en Belvedere,U$S 138.000,146
2 Dormitorios en Pocitos,U$S 138.000,53
3 Dormitorios en Villa Española,U$S 138.000,93
3 Dormitorios en Sayago,U$S 138.000,121
2 Dormitorios en Prado,U$S 138.000,88
2 Dormitorios en Sayago,U$S 138.000,68
2 Dormitorios en Prado,U$S 138.000,48
3 Dormitorios en Aguada,U$S 138.000,90
2 Dormitorios en Jacinto Vera,U$S 138.000,76
2 Dormitorios en Prado,U$S 138.000,85
2 Dormitorios en Brazo Oriental,U$S 138.000,72
2 Dormitorios en Buceo,U$S 138.000,66
2 Dormitorios en Carrasco Norte,U$S 138.000,84
3 Dormitorios en Tres Cruces,U$S 138.000,
3 Dormitorios en Brazo Oriental,U$S 138.500,117
3 Dormitorios en La Blanqueada,U$S 139.000,90
3 Dormitorios en Barra Santa Lucia,U$S 139.000,122
2 Dormitorios en La Blanqueada,U$S 139.000,65
3 Dormitorios en Aguada,U$S 139.000,106
3 Dormitorios en La Blanqueada,U$S 139.000,90
2 Dormitorios en Brazo Oriental,U$S 139.000,64
2 Dormitorios en Capurro,U$S 139.000,100
1 Dormitorio en Buceo,U$S 139.000,
2 Dormitorios en Buceo,U$S 139.000,50
3 Dormitorios en Paso Molino,U$S 139.000,60
3 Dormitorios en La Comercial,U$S 139.000,
1 Dormitorio en Puerto Buceo,U$S 139.000,45
3 Dormitorios en Palermo,U$S 139.000,90
2 Dormitorios en Otro,U$S 139.000,70
2 Dormitorios en Capurro,U$S 139.000,95
2 Dormitorios en Parque Rodo,U$S 139.000,84
3 Dormitorios en Colon,U$S 139.000,180
3 Dormitorios en Centro,U$S 139.000,130
1 Dormitorio en Puerto Buceo,U$S 139.000,45
2 Dormitorios en Perez Castellanos,U$S 140.000,100
2 Dormitorios en Atahualpa,U$S 140.000,86
3 Dormitorios en Capurro,U$S 140.000,111
2 Dormitorios en La Blanqueada,U$S 140.000,
Más de 4 dormitorios en Goes,U$S 140.000,330
4 Dormitorios en Belvedere,U$S 140.000,178
3 Dormitorios en Jacinto Vera,U$S 140.000,80
3 Dormitorios en Colon,U$S 140.000,94
2 Dormitorios en Perez Castellanos,U$S 140.000,81
3 Dormitorios en Peñarol,U$S 140.000,133
Más de 4 dormitorios en Cordon,U$S 140.000,176
2 Dormitorios en Prado,U$S 140.000,89
Más de 4 dormitorios en Union,U$S 140.000,109
2 Dormitorios en Nuevo Paris,U$S 140.000,110
2 Dormitorios en La Comercial,U$S 140.000,
Más de 4 dormitorios en Ciudad Vieja,U$S 140.000,528
4 Dormitorios en Belvedere,U$S 140.000,150
2 Dormitorios en Atahualpa,U$S 140.000,75
3 Dormitorios en Arroyo Seco,U$S 140.000,
3 Dormitorios en Cerrito,U$S 140.000,115
3 Dormitorios en Prado,U$S 140.000,80
4 Dormitorios en Jacinto Vera,U$S 140.000,
2 Dormitorios en Golf,U$S 140.000,68
1 Dormitorio en Prado,U$S 140.000,46
3 Dormitorios en Villa Española,U$S 140.000,250
3 Dormitorios en J. Hipodromo,U$S 140.000,80
2 Dormitorios en Nuevo Paris,U$S 140.000,70
2 Dormitorios en Prado,U$S 140.000,90
1 Ambiente en Cordon,U$S 140.000,90
2 Dormitorios en Pajas Blancas,U$S 140.000,
2 Dormitorios en Lezica,U$S 140.000,180
4 Dormitorios en Villa Muñoz,U$S 140.000,137
Más de 4 dormitorios en La Teja,U$S 140.000,180
Más de 4 dormitorios en La Teja,U$S 140.000,
3 Dormitorios en Peñarol,U$S 140.000,133
3 Dormitorios en Buceo,U$S 140.000,100
3 Dormitorios en Aguada,U$S 140.000,120
3 Dormitorios en La Blanqueada,U$S 140.000,
3 Dormitorios en Peñarol,U$S 140.000,168
1 Ambiente en Ciudad Vieja,U$S 140.000,528
4 Dormitorios en Colon,U$S 140.000,94
3 Dormitorios en Colon,U$S 140.000,85
Más de 4 dormitorios en La Teja,U$S 140.000,180
3 Dormitorios en Cordon,U$S 140.000,107
2 Dormitorios en Prado,U$S 140.000,80
3 Dormitorios en Maroñas,U$S 140.000,64
2 Dormitorios en Peñarol,U$S 140.000,
3 Dormitorios en Nuevo Paris,U$S 140.000,75
2 Dormitorios en Centro,U$S 140.000,81
2 Dormitorios en Cordon,U$S 140.000,
3 Dormitorios en Goes,U$S 140.000,130
2 Dormitorios en Malvin Norte,U$S 140.000,68
3 Dormitorios en Arroyo Seco,U$S 140.000,119
2 Dormitorios en Atahualpa,U$S 140.000,65
3 Dormitorios en Capurro,U$S 140.000,98
3 Dormitorios en Cerro,U$S 140.000,110
Más de 4 dormitorios en Cerro,U$S 140.000,
2 Dormitorios en Nuevo Paris,U$S 140.000,181
3 Dormitorios en Maroñas,U$S 140.000,126
2 Dormitorios en Sayago,U$S 140.000,62
3 Dormitorios en Cordon,U$S 140.000,
3 Dormitorios en Arroyo Seco,U$S 140.000,100
2 Dormitorios en Brazo Oriental,U$S 140.000,32
3 Dormitorios en La Blanqueada,U$S 140.000,122
2 Dormitorios en Cerro,U$S 140.000,77
3 Dormitorios en Nuevo Paris,U$S 140.000,81
4 Dormitorios en La Blanqueada,U$S 140.000,250
2 Dormitorios en Sayago,U$S 140.000,68
2 Dormitorios en Colon,U$S 140.000,120
3 Dormitorios en Tres Cruces,U$S 140.000,102
2 Dormitorios en Atahualpa,U$S 140.000,115
2 Dormitorios en Sayago,U$S 140.000,93
3 Dormitorios en Atahualpa,U$S 140.000,80
3 Dormitorios en Arroyo Seco,U$S 140.000,90
Más de 4 dormitorios en Paso Molino,U$S 140.000,336
2 Dormitorios en Buceo,U$S 140.000,110
2 Dormitorios en Lezica,U$S 140.000,
3 Dormitorios en Bolivar,U$S 140.000,
3 Dormitorios en Paso Molino,U$S 140.000,82
2 Dormitorios en Union,U$S 140.000,96
1 Dormitorio en Goes,U$S 140.000,138
2 Dormitorios en Maroñas Curva,U$S 140.000,157
2 Dormitorios en Cordon,U$S 140.000,
4 Dormitorios en Palermo,U$S 140.000,159
3 Dormitorios en Malvin,U$S 140.000,76
2 Dormitorios en La Blanqueada,U$S 140.000,83
2 Dormitorios en Ciudad Vieja,U$S 140.000,160
2 Dormitorios en Aguada,U$S 142.000,87
2 Dormitorios en Parque Rodo,U$S 142.000,84
2 Dormitorios en La Blanqueada,U$S 142.000,80
2 Dormitorios en Cerrito,U$S 142.000,130
3 Dormitorios en La Blanqueada,U$S 143.000,80
3 Dormitorios en Colon,U$S 143.000,110
3 Dormitorios en Reducto,U$S 143.000,92
3 Dormitorios en Aguada,U$S 143.000,92
2 Dormitorios en La Teja,U$S 143.000,123
3 Dormitorios en La Blanqueada,U$S 143.000,80
3 Dormitorios en Union,U$S 143.500,82
4 Dormitorios en Centro,U$S 144.000,144
2 Dormitorios en Malvin Norte,U$S 145.000,300
2 Dormitorios en Malvin,U$S 145.000,58
4 Dormitorios en Tres Cruces,U$S 145.000,146
3 Dormitorios en Ciudad Vieja,U$S 145.000,85
2 Dormitorios en Cerro,U$S 145.000,150
2 Dormitorios en Carrasco Norte,U$S 145.000,82
Más de 4 dormitorios en Aguada,U$S 145.000,216
3 Dormitorios en Cerrito,U$S 145.000,145
2 Dormitorios en Parque Batlle,U$S 145.000,72
1 Dormitorio en Malvin,U$S 145.000,60
2 Dormitorios en Brazo Oriental,U$S 145.000,115
3 Dormitorios en Capurro,U$S 145.000,130
3 Dormitorios en Union,U$S 145.000,140
2 Dormitorios en Brazo Oriental,U$S 145.000,115
2 Dormitorios en Jacinto Vera,U$S 145.000,88
2 Dormitorios en Malvin,U$S 145.000,
2 Dormitorios en Aires Puros,U$S 145.000,83
2 Dormitorios en Prado,U$S 145.000,91
2 Dormitorios en Perez Castellanos,U$S 145.000,80
3 Dormitorios en Sayago,U$S 145.000,160
2 Dormitorios en Reducto,U$S 145.000,141
2 Dormitorios en La Comercial,U$S 145.000,104
2 Dormitorios en Prado,U$S 145.000,123
2 Dormitorios en Pocitos Nuevo,U$S 145.000,62
3 Dormitorios en Colon,U$S 145.000,
2 Dormitorios en Cerro,U$S 145.000,100
3 Dormitorios en Aguada,U$S 145.000,110
3 Dormitorios en Tres Cruces,U$S 145.000,206
2 Dormitorios en Perez Castellanos,U$S 145.000,1
3 Dormitorios en Sayago,U$S 145.000,111
3 Dormitorios en Belvedere,U$S 145.000,371
3 Dormitorios en Colon,U$S 145.000,250
2 Dormitorios en La Blanqueada,U$S 145.000,88
2 Dormitorios en Sayago,U$S 145.000,75
2 Dormitorios en Malvin,U$S 145.000,58
3 Dormitorios en Malvin Norte,U$S 146.000,
2 Dormitorios en Nuevo Paris,U$S 146.000,100
3 Dormitorios en La Comercial,U$S 146.000,92
2 Dormitorios en Parque Batlle,U$S 147.000,70
3 Dormitorios en Malvin Norte,U$S 147.000,160
4 Dormitorios en Palermo,U$S 147.000,96
2 Dormitorios en Jacinto Vera,U$S 148.000,133
3 Dormitorios en Reducto,U$S 148.000,128
2 Dormitorios en Colon,U$S 148.000,80
Más de 4 dormitorios en La Comercial,U$S 148.000,147
4 Dormitorios en Aguada,U$S 148.000,147
3 Dormitorios en Jacinto Vera,U$S 148.000,100
2 Dormitorios en Sayago,U$S 148.000,122
2 Dormitorios en Jacinto Vera,U$S 148.000,100
Más de 4 dormitorios en Union,U$S 148.000,184
Más de 4 dormitorios en Aguada,U$S 148.000,147
4 Dormitorios en Maroñas,U$S 148.000,206
4 Dormitorios en Malvin Norte,U$S 148.000,200
2 Dormitorios en Reducto,U$S 148.000,145
3 Dormitorios en Jacinto Vera,U$S 148.000,130
Más de 4 dormitorios en Aguada,U$S 148.000,150
2 Dormitorios en Aguada,U$S 148.000,106
1 Dormitorio en Malvin Norte,U$S 148.000,67
3 Dormitorios en Cordon,U$S 148.000,138
3 Dormitorios en Capurro,U$S 148.000,91
3 Dormitorios en La Blanqueada,U$S 148.000,80
3 Dormitorios en Prado Norte,U$S 149.000,109
2 Dormitorios en Buceo,U$S 149.000,75
2 Dormitorios en Buceo,U$S 149.000,81
3 Dormitorios en Cordon,U$S 149.000,100
2 Dormitorios en Prado,U$S 149.000,50
3 Dormitorios en Malvin Norte,U$S 149.000,90
3 Dormitorios en La Blanqueada,U$S 149.000,110
2 Dormitorios en Belvedere,U$S 149.000,60
3 Dormitorios en Carrasco Norte,U$S 149.000,78
3 Dormitorios en Sayago,U$S 149.000,132
3 Dormitorios en Jacinto Vera,U$S 149.000,70
2 Dormitorios en Parque Batlle,U$S 149.000,78
2 Dormitorios en Sayago,U$S 149.000,50
4 Dormitorios en Union,U$S 149.000,170
3 Dormitorios en Tres Cruces,U$S 149.000,86
2 Dormitorios en Prado,U$S 149.000,75
3 Dormitorios en Nuevo Paris,U$S 149.000,200
3 Dormitorios en Cordon,U$S 149.000,132
2 Dormitorios en Buceo,U$S 149.500,68
3 Dormitorios en Colon,U$S 149.500,140
3 Dormitorios en Colon,U$S 149.500,140
3 Dormitorios en Colon,U$S 149.500,140
2 Dormitorios en Malvin,U$S 149.531,106
2 Dormitorios en Goes,U$S 149.900,105
3 Dormitorios en Paso Molino,U$S 150.000,105
2 Dormitorios en Union,U$S 150.000,73
4 Dormitorios en Prado,U$S 150.000,110
3 Dormitorios en Punta Rieles,U$S 150.000,216
4 Dormitorios en Capurro,U$S 150.000,261
2 Dormitorios en Sayago,U$S 150.000,80
Más de 4 dormitorios en Otro,U$S 150.000,151
4 Dormitorios en Cerrito,U$S 150.000,
2 Dormitorios en Colon,U$S 150.000,150
3 Dormitorios en La Blanqueada,U$S 150.000,80
3 Dormitorios en La Comercial,U$S 150.000,141
3 Dormitorios en Carrasco Norte,U$S 150.000,136
2 Dormitorios en La Comercial,U$S 150.000,106
3 Dormitorios en Pocitos,U$S 150.000,90
2 Dormitorios en Centro,U$S 150.000,125
3 Dormitorios en Union,U$S 150.000,135
3 Dormitorios en Colon,U$S 150.000,
2 Dormitorios en Sayago,U$S 150.000,190
3 Dormitorios en Paso Molino,U$S 150.000,104
4 Dormitorios en Aguada,U$S 150.000,121
2 Dormitorios en Cordon,U$S 150.000,60
2 Dormitorios en Buceo,U$S 150.000,70
4 Dormitorios en Prado,U$S 150.000,85
3 Dormitorios en Parque Batlle,U$S 150.000,100
3 Dormitorios en Cerrito,U$S 150.000,170
3 Dormitorios en Union,U$S 150.000,135
4 Dormitorios en Aguada,U$S 150.000,119
4 Dormitorios en La Comercial,U$S 150.000,124
2 Dormitorios en Cordon,U$S 150.000,55
3 Dormitorios en Sayago,U$S 150.000,125
2 Dormitorios en Brazo Oriental,U$S 150.000,70
3 Dormitorios en Colon,U$S 150.000,400
3 Dormitorios en Peñarol,U$S 150.000,166
3 Dormitorios en La Comercial,U$S 150.000,118
3 Dormitorios en Paso Molino,U$S 150.000,
2 Dormitorios en Malvin Norte,U$S 150.000,64
2 Dormitorios en Aguada,U$S 150.000,87
3 Dormitorios en Prado,U$S 150.000,
3 Dormitorios en Cordon,U$S 150.000,102
3 Dormitorios en Lezica,U$S 150.000,100
3 Dormitorios en Carrasco Norte,U$S 150.000,95
1 Ambiente en Aguada,U$S 150.000,207
2 Dormitorios en La Blanqueada,U$S 150.000,67
2 Dormitorios en La Comercial,U$S 150.000,106
Más de 4 dormitorios en Malvin Norte,U$S 150.000,150
Más de 4 dormitorios en Aguada,U$S 150.000,152
3 Dormitorios en La Teja,U$S 150.000,
2 Dormitorios en Nuevo Paris,U$S 150.000,
2 Dormitorios en Malvin,U$S 150.000,80
3 Dormitorios en Malvin Norte,U$S 150.000,135
2 Dormitorios en Union,U$S 150.000,103
2 Dormitorios en La Blanqueada,U$S 150.000,88
3 Dormitorios en Cordon,U$S 150.000,125
4 Dormitorios en Colon,U$S 150.000,200
3 Dormitorios en Colon,U$S 150.000,350
2 Dormitorios en Atahualpa,U$S 150.000,70
2 Dormitorios en Centro,U$S 150.000,80
3 Dormitorios en Aguada,U$S 150.000,121
3 Dormitorios en Otro,U$S 150.000,210
3 Dormitorios en Nuevo Paris,U$S 150.000,84
2 Dormitorios en Jacinto Vera,U$S 150.000,70
3 Dormitorios en Cordon,U$S 150.000,102
4 Dormitorios en Union,U$S 150.000,140
2 Dormitorios en Colon,U$S 150.000,78
2 Dormitorios en La Comercial,U$S 150.000,109
3 Dormitorios en Cordon,U$S 150.000,157
4 Dormitorios en Belvedere,U$S 150.000,
2 Dormitorios en Prado,U$S 150.000,141
2 Dormitorios en La Blanqueada,U$S 150.000,61
3 Dormitorios en Goes,U$S 150.000,138
2 Dormitorios en Nuevo Paris,U$S 150.000,2662
3 Dormitorios en Paso Molino,U$S 150.000,81
2 Dormitorios en Buceo,U$S 150.000,69
2 Dormitorios en Buceo,U$S 150.000,90
2 Dormitorios en Centro,U$S 150.000,62
2 Dormitorios en Brazo Oriental,U$S 150.000,87
2 Dormitorios en Pocitos,U$S 150.000,74
2 Dormitorios en Jacinto Vera,U$S 150.000,89
Más de 4 dormitorios en Bella Vista,U$S 150.000,151
2 Dormitorios en Lezica,U$S 150.000,70
3 Dormitorios en La Teja,U$S 150.000,
4 Dormitorios en Cordon,U$S 150.000,117
Más de 4 dormitorios en Ciudad Vieja,U$S 150.000,500
3 Dormitorios en Perez Castellanos,U$S 150.000,160
1 Dormitorio en Aguada,U$S 150.000,50
2 Dormitorios en La Teja,U$S 150.000,110
3 Dormitorios en Buceo,U$S 150.000,135
4 Dormitorios en Cordon,U$S 152.000,
Más de 4 dormitorios en Tres Cruces,U$S 152.000,111
3 Dormitorios en Cordon,U$S 152.000,
3 Dormitorios en Aires Puros,U$S 152.000,140
2 Dormitorios en Aires Puros,U$S 153.000,
2 Dormitorios en Pocitos,U$S 153.000,58
3 Dormitorios en Punta Gorda,U$S 153.000,70
3 Dormitorios en Tres Cruces,U$S 153.000,150
2 Dormitorios en Parque Batlle,U$S 155.000,60
Más de 4 dormitorios en Sayago,U$S 155.000,120
2 Dormitorios en Buceo,U$S 155.000,
4 Dormitorios en Sayago,U$S 155.000,350
2 Dormitorios en Ciudad Vieja,U$S 155.000,133
3 Dormitorios en Union,U$S 155.000,110
1 Dormitorio en Malvin,U$S 155.000,47
3 Dormitorios en Cerrito,U$S 155.000,110
2 Dormitorios en Malvin,U$S 155.000,150
3 Dormitorios en Prado,U$S 155.000,110
2 Dormitorios en Carrasco,U$S 155.000,72
2 Dormitorios en Brazo Oriental,U$S 155.000,
2 Dormitorios en Puerto Buceo,U$S 155.000,100
2 Dormitorios en Prado,U$S 155.000,81
3 Dormitorios en Belvedere,U$S 155.000,125
2 Dormitorios en Larrañaga,U$S 155.000,80
2 Dormitorios en Villa Dolores,U$S 155.000,60
Más de 4 dormitorios en La Comercial,U$S 155.000,154
1 Dormitorio en Malvin,U$S 155.000,65
2 Dormitorios en Malvin,U$S 155.000,
2 Dormitorios en Malvin,U$S 155.000,48
2 Dormitorios en Cordon,U$S 155.000,
2 Dormitorios en Malvin,U$S 155.000,
3 Dormitorios en Jacinto Vera,U$S 155.000,108
3 Dormitorios en Ituzaingo,U$S 155.000,80
3 Dormitorios en Belvedere,U$S 155.000,125
4 Dormitorios en La Figurita,U$S 155.000,127
2 Dormitorios en Malvin,U$S 155.000,49
2 Dormitorios en La Blanqueada,U$S 155.000,
2 Dormitorios en Jacinto Vera,U$S 155.000,62
1 Dormitorio en Pocitos,U$S 155.000,61
2 Dormitorios en Malvin Norte,U$S 155.000,
4 Dormitorios en Sayago,U$S 155.000,140
Más de 4 dormitorios en Aguada,U$S 155.000,208
2 Dormitorios en Ciudad Vieja,U$S 155.000,140
2 Dormitorios en Brazo Oriental,U$S 155.000,70
1 Dormitorio en La Blanqueada,U$S 155.000,90
4 Dormitorios en Reducto,U$S 155.000,
2 Dormitorios en Pocitos,U$S 155.000,79
4 Dormitorios en La Comercial,U$S 155.000,154
3 Dormitorios en Union,U$S 155.000,113
2 Dormitorios en Bella Vista,U$S 155.000,85
3 Dormitorios en Prado,U$S 155.000,100
3 Dormitorios en Piedras Blancas,U$S 155.000,110
1 Dormitorio en Malvin,U$S 155.000,35
3 Dormitorios en Tres Cruces,U$S 155.000,77
2 Dormitorios en Pocitos,U$S 155.000,86
2 Dormitorios en Brazo Oriental,U$S 155.000,126
3 Dormitorios en Prado,U$S 155.000,68
3 Dormitorios en Cordon,U$S 155.000,108
3 Dormitorios en Prado,U$S 155.000,68
3 Dormitorios en La Blanqueada,U$S 155.000,108
1 Dormitorio en Cordon,U$S 155.000,63
2 Dormitorios en Reducto,U$S 155.000,100
2 Dormitorios en Pocitos,U$S 155.000,60
3 Dormitorios en La Blanqueada,U$S 155.000,110
3 Dormitorios en Atahualpa,U$S 155.000,103
3 Dormitorios en Parque Batlle,U$S 155.000,70
2 Dormitorios en Sayago,U$S 155.000,60
2 Dormitorios en Aires Puros,U$S 155.000,76
2 Dormitorios en Union,U$S 155.000,87
2 Dormitorios en Aires Puros,U$S 156.000,107
2 Dormitorios en Jacinto Vera,U$S 156.000,70
3 Dormitorios en Reducto,U$S 156.000,133
2 Dormitorios en Reducto,U$S 156.000,70
2 Dormitorios en Brazo Oriental,U$S 156.000,70
2 Dormitorios en Union,U$S 157.000,62
2 Dormitorios en Union,U$S 157.000,
2 Dormitorios en La Comercial,U$S 157.000,155
2 Dormitorios en Pocitos,U$S 157.000,75
1 Dormitorio en La Blanqueada,U$S 157.000,90
2 Dormitorios en La Blanqueada,U$S 157.000,62
3 Dormitorios en Pocitos,U$S 157.000,90
2 Dormitorios en Malvin,U$S 157.000,62
2 Dormitorios en Malvin,U$S 157.000,55
2 Dormitorios en Buceo,U$S 157.000,62
2 Dormitorios en Parque Batlle,U$S 157.000,62
2 Dormitorios en Union,U$S 157.000,92
2 Dormitorios en Tres Cruces,U$S 157.000,152
2 Dormitorios en Aguada,U$S 158.000,122
2 Dormitorios en Ituzaingo,U$S 158.000,
3 Dormitorios en Aguada,U$S 158.000,122
2 Dormitorios en Brazo Oriental,U$S 158.000,100
2 Dormitorios en Parque Rodo,U$S 158.000,80
3 Dormitorios en Parque Rodo,U$S 158.000,120
2 Dormitorios en Prado,U$S 158.000,76
3 Dormitorios en La Comercial,U$S 158.000,122
2 Dormitorios en Goes,U$S 158.000,200
2 Dormitorios en Cordon,U$S 158.000,75
3 Dormitorios en Cordon,U$S 158.000,92
3 Dormitorios en La Comercial,U$S 158.000,75
4 Dormitorios en Nuevo Paris,U$S 158.000,
3 Dormitorios en Prado,U$S 158.000,112
2 Dormitorios en Union,U$S 158.000,125
3 Dormitorios en Ciudad Vieja,U$S 158.000,90
Más de 4 dormitorios en Union,U$S 158.000,173
3 Dormitorios en Sayago,U$S 158.000,150
4 Dormitorios en Cordon,U$S 158.000,115
2 Dormitorios en Prado,U$S 158.000,76
Más de 4 dormitorios en Centro,U$S 158.000,231
2 Dormitorios en Malvin,U$S 159.000,57
2 Dormitorios en Parque Batlle,U$S 159.000,90
2 Dormitorios en Malvin,U$S 159.000,61
2 Dormitorios en Atahualpa,U$S 159.000,66
2 Dormitorios en Malvin,U$S 159.000,57
Más de 4 dormitorios en Centro,U$S 159.000,160
2 Dormitorios en Malvin,U$S 159.000,75
3 Dormitorios en Malvin Norte,U$S 159.000,86
2 Dormitorios en Malvin,U$S 159.000,66
2 Dormitorios en Tres Cruces,U$S 159.000,100
2 Dormitorios en Tres Cruces,U$S 159.000,85
2 Dormitorios en Brazo Oriental,U$S 159.000,102
2 Dormitorios en La Blanqueada,U$S 159.000,92
2 Dormitorios en La Blanqueada,U$S 159.000,94
2 Dormitorios en Aires Puros,U$S 159.500,120
2 Dormitorios en La Blanqueada,U$S 159.900,65
2 Dormitorios en Atahualpa,U$S 160.000,85
3 Dormitorios en Ciudad Vieja,U$S 160.000,
2 Dormitorios en La Blanqueada,U$S 160.000,65
3 Dormitorios en Sayago,U$S 160.000,150
3 Dormitorios en Villa Española,U$S 160.000,139
2 Dormitorios en Prado,U$S 160.000,82
1 Ambiente en Reducto,U$S 160.000,100
2 Dormitorios en La Blanqueada,U$S 160.000,
3 Dormitorios en Capurro,U$S 160.000,120
3 Dormitorios en Ciudad Vieja,U$S 160.000,
Más de 4 dormitorios en Cerrito,U$S 160.000,
2 Dormitorios en La Comercial,U$S 160.000,102
4 Dormitorios en La Comercial,U$S 160.000,
3 Dormitorios en La Blanqueada,U$S 160.000,70
3 Dormitorios en Colon,U$S 160.000,128
2 Dormitorios en Buceo,U$S 160.000,51
1 Dormitorio en Punta Carretas,U$S 160.000,52
3 Dormitorios en Sayago,U$S 160.000,83
2 Dormitorios en La Comercial,U$S 160.000,234
4 Dormitorios en La Blanqueada,U$S 160.000,210
3 Dormitorios en Nuevo Paris,U$S 160.000,100
3 Dormitorios en La Blanqueada,U$S 160.000,150
2 Dormitorios en B. De Carrasco,U$S 160.000,52
2 Dormitorios en Sayago,U$S 160.000,64
3 Dormitorios en La Blanqueada,U$S 160.000,122
2 Dormitorios en Sayago,U$S 160.000,70
2 Dormitorios en Pocitos,U$S 160.000,60
2 Dormitorios en Cordon,U$S 160.000,60
Más de 4 dormitorios en Centro,U$S 160.000,141
2 Dormitorios en Parque Batlle,U$S 160.000,115
2 Dormitorios en Brazo Oriental,U$S 160.000,63
4 Dormitorios en Prado,U$S 160.000,190
3 Dormitorios en Atahualpa,U$S 160.000,
2 Dormitorios en Buceo,U$S 160.000,123
3 Dormitorios en Aires Puros,U$S 160.000,340
2 Dormitorios en Goes,U$S 160.000,80
Más de 4 dormitorios en Cordon,U$S 160.000,80
2 Dormitorios en Union,U$S 160.000,130
3 Dormitorios en Colon,U$S 160.000,109
2 Dormitorios en Cordon,U$S 160.000,80
2 Dormitorios en La Comercial,U$S 160.000,100
4 Dormitorios en Buceo,U$S 160.000,161
3 Dormitorios en Carrasco Norte,U$S 160.000,65
3 Dormitorios en Aires Puros,U$S 160.000,150
3 Dormitorios en Puerto Buceo,U$S 160.000,108
1 Dormitorio en Malvin,U$S 160.000,62
2 Dormitorios en Pocitos,U$S 160.000,50
Más de 4 dormitorios en Prado,U$S 160.000,
3 Dormitorios en Reducto,U$S 160.000,
3 Dormitorios en Barrio Sur,U$S 160.000,90
2 Dormitorios en La Blanqueada,U$S 160.000,70
4 Dormitorios en Reducto,U$S 160.000,146
2 Dormitorios en Brazo Oriental,U$S 160.000,65
2 Dormitorios en La Blanqueada,U$S 160.000,55
Más de 4 dormitorios en Pocitos,U$S 160.000,96
3 Dormitorios en Sayago,U$S 160.000,74
4 Dormitorios en La Figurita,U$S 160.000,
2 Dormitorios en La Comercial,U$S 160.000,80
2 Dormitorios en La Blanqueada,U$S 160.000,101
3 Dormitorios en Goes,U$S 160.000,140
2 Dormitorios en Buceo,U$S 160.000,115
1 Dormitorio en Otro,U$S 160.000,58
2 Dormitorios en Goes,U$S 160.000,200
3 Dormitorios en La Blanqueada,U$S 160.000,132
2 Dormitorios en Tres Cruces,U$S 160.000,
2 Dormitorios en Villa Muñoz,U$S 160.000,80
1 Dormitorio en Pocitos,U$S 160.000,63
3 Dormitorios en La Blanqueada,U$S 160.000,165
3 Dormitorios en Carrasco,U$S 160.000,
2 Dormitorios en Carrasco Norte,U$S 160.000,
2 Dormitorios en Centro,U$S 160.000,60
2 Dormitorios en Pocitos,U$S 160.000,60
Más de 4 dormitorios en Piedras Blancas,U$S 160.000,150
3 Dormitorios en Palermo,U$S 160.000,110
3 Dormitorios en La Blanqueada,U$S 160.000,123
Más de 4 dormitorios en La Teja,U$S 160.000,
Más de 4 dormitorios en Reducto,U$S 160.000,215
4 Dormitorios en La Comercial,U$S 160.000,
2 Dormitorios en Carrasco Norte,U$S 160.000,72
1 Dormitorio en Punta Carretas,U$S 160.000,49
3 Dormitorios en Buceo,U$S 160.000,108
2 Dormitorios en B. De Carrasco,U$S 160.000,51
3 Dormitorios en Malvin Norte,U$S 160.000,140
2 Dormitorios en Buceo,U$S 160.000,123
2 Dormitorios en Carrasco Norte,U$S 160.000,117
2 Dormitorios en Buceo,U$S 160.000,60
2 Dormitorios en La Blanqueada,U$S 160.000,110
3 Dormitorios en Pajas Blancas,U$S 160.000,210
2 Dormitorios en Malvin,U$S 160.000,
3 Dormitorios en Atahualpa,U$S 162.000,80
3 Dormitorios en Carrasco Norte,U$S 162.000,86
2 Dormitorios en Brazo Oriental,U$S 162.000,100
2 Dormitorios en Brazo Oriental,U$S 162.000,83
2 Dormitorios en Jacinto Vera,U$S 162.000,78
2 Dormitorios en Malvin,U$S 162.000,
2 Dormitorios en Jacinto Vera,U$S 162.000,
2 Dormitorios en Atahualpa,U$S 162.000,69
2 Dormitorios en Buceo,U$S 162.000,58
3 Dormitorios en Aguada,U$S 162.000,100
3 Dormitorios en Malvin Norte,U$S 162.000,98
2 Dormitorios en Brazo Oriental,U$S 162.000,98
2 Dormitorios en Reducto,U$S 162.000,73
2 Dormitorios en Parque Rodo,U$S 163.000,80
