desc,valor,metraje
2 Dormitorios en Peñarol,U$S 58.000,
2 Dormitorios en Las Acacias,U$S 58.000,
3 Dormitorios en Ituzaingo,U$S 58.000,70
1 Dormitorio en Cno. Maldonado,U$S 58.000,
2 Dormitorios en Peñarol,U$S 58.000,41
1 Dormitorio en Prado,U$S 58.000,40
2 Dormitorios en Colon,U$S 58.000,106
2 Dormitorios en Colon,U$S 58.000,
2 Dormitorios en Prado,U$S 58.000,57
1 Dormitorio en La Teja,U$S 59.000,70
3 Dormitorios en Colon,U$S 59.000,150
3 Dormitorios en Union,U$S 59.000,60
3 Dormitorios en Cerro,U$S 59.000,60
1 Ambiente en Aguada,U$S 59.500,22
2 Dormitorios en Paso De La Arena,U$S 60.000,50
2 Dormitorios en Otro,U$S 60.000,80
2 Dormitorios en Jacinto Vera,U$S 60.000,85
2 Dormitorios en Ituzaingo,U$S 60.000,59
2 Dormitorios en Cerrito,U$S 60.000,60
2 Dormitorios en La Teja,U$S 60.000,90
2 Dormitorios en Colon,U$S 60.000,70
4 Dormitorios en Piedras Blancas,U$S 60.000,200
2 Dormitorios en Malvin Norte,U$S 60.000,51
3 Dormitorios en Cerrito,U$S 60.000,72
2 Dormitorios en Arroyo Seco,U$S 60.000,50
1 Dormitorio en Aires Puros,U$S 60.000,70
1 Dormitorio en Sayago,U$S 60.000,34
2 Dormitorios en Cerrito,U$S 60.000,75
2 Dormitorios en Cerrito,U$S 60.000,66
3 Dormitorios en Las Acacias,U$S 61.000,70
2 Dormitorios en Manga,U$S 61.000,59
4 Dormitorios en Cno. Maldonado,U$S 62.000,92
2 Dormitorios en Nuevo Paris,U$S 62.000,95
2 Dormitorios en Villa Española,U$S 62.000,80
1 Dormitorio en Aires Puros,U$S 62.000,48
2 Dormitorios en Maroñas,U$S 63.000,
2 Dormitorios en Union,U$S 63.000,67
2 Dormitorios en La Teja,U$S 63.000,90
1 Dormitorio en J. Hipodromo,U$S 63.000,107
3 Dormitorios en Peñarol,U$S 64.000,70
2 Dormitorios en Nuevo Paris,U$S 64.000,
3 Dormitorios en Otro,U$S 64.500,81
1 Dormitorio en La Comercial,U$S 64.500,33
1 Dormitorio en La Teja,U$S 65.000,
3 Dormitorios en Union,U$S 65.000,273
3 Dormitorios en La Teja,U$S 65.000,60
2 Dormitorios en Union,U$S 65.000,
2 Dormitorios en Casabo,U$S 65.000,
2 Dormitorios en Otro,U$S 65.000,70
2 Dormitorios en Parque Batlle,U$S 65.000,55
3 Dormitorios en Malvin Norte,U$S 65.000,75
3 Dormitorios en Paso De La Arena,U$S 65.000,133
3 Dormitorios en Union,U$S 65.000,80
2 Dormitorios en Centro,U$S 65.000,160
Más de 4 dormitorios en La Teja,U$S 65.000,
3 Dormitorios en Cerrito,U$S 65.000,70
3 Dormitorios en La Teja,U$S 65.000,85
2 Dormitorios en Union,U$S 65.000,50
2 Dormitorios en Piedras Blancas,U$S 65.000,
2 Dormitorios en J. Hipodromo,U$S 65.000,70
2 Dormitorios en Sayago,U$S 65.000,140
3 Dormitorios en Peñarol,U$S 65.000,80
2 Dormitorios en Peñarol,U$S 65.000,45
2 Dormitorios en Sayago,U$S 65.000,120
2 Dormitorios en La Teja,U$S 65.000,40
3 Dormitorios en Casabo,U$S 65.000,
2 Dormitorios en Malvin Norte,U$S 65.000,61
1 Dormitorio en Jacinto Vera,U$S 65.000,45
1 Dormitorio en Lezica,U$S 65.000,80
2 Dormitorios en Ituzaingo,U$S 65.000,100
1 Dormitorio en Prado,U$S 65.000,
2 Dormitorios en Peñarol,U$S 65.000,75
2 Dormitorios en J. Hipodromo,U$S 65.000,65
2 Dormitorios en Peñarol,U$S 65.000,53
2 Dormitorios en Otro,U$S 65.000,76
2 Dormitorios en Colon,U$S 65.000,70
2 Dormitorios en Maroñas,U$S 65.000,90
2 Dormitorios en Colon,U$S 65.000,
1 Dormitorio en Peñarol,U$S 65.000,58
4 Dormitorios en Colon,U$S 66.000,130
2 Dormitorios en Maroñas Curva,U$S 66.800,60
3 Dormitorios en Villa Española,U$S 67.000,61
Más de 4 dormitorios en Colon,U$S 67.000,180
2 Dormitorios en Maroñas,U$S 67.000,
3 Dormitorios en Peñarol,U$S 67.000,140
2 Dormitorios en Perez Castellanos,U$S 68.000,50
2 Dormitorios en Barra Santa Lucia,U$S 68.000,110
2 Dormitorios en Paso De La Arena,U$S 68.000,120
1 Ambiente en Sayago,U$S 68.000,60
3 Dormitorios en Maroñas,U$S 68.000,80
2 Dormitorios en Bolivar,U$S 68.000,60
2 Dormitorios en Sayago,U$S 68.000,70
2 Dormitorios en Sayago,U$S 68.000,45
2 Dormitorios en Manga,U$S 68.000,61
3 Dormitorios en Maroñas,U$S 68.000,60
2 Dormitorios en Union,U$S 68.000,90
2 Dormitorios en Paso De La Arena,U$S 68.000,
1 Dormitorio en Colon,U$S 68.000,44
3 Dormitorios en Centro,U$S 68.000,70
3 Dormitorios en Maroñas,U$S 68.000,68
2 Dormitorios en Nuevo Paris,U$S 68.000,90
2 Dormitorios en Lezica,U$S 68.000,60
2 Dormitorios en Peñarol,U$S 68.000,60
Más de 4 dormitorios en Colon,U$S 69.000,112
2 Dormitorios en Punta Rieles,U$S 69.000,60
3 Dormitorios en Piedras Blancas,U$S 69.000,82
2 Dormitorios en Sayago,U$S 69.000,55
3 Dormitorios en Punta Rieles,U$S 69.000,
2 Dormitorios en Lezica,U$S 69.000,80
3 Dormitorios en Piedras Blancas,U$S 69.000,151
1 Dormitorio en Malvin Norte,U$S 70.000,80
2 Dormitorios en Union,U$S 70.000,65
1 Dormitorio en Aguada,U$S 70.000,46
2 Dormitorios en Colon,U$S 70.000,60
2 Dormitorios en Piedras Blancas,U$S 70.000,110
2 Dormitorios en Piedras Blancas,U$S 70.000,
2 Dormitorios en J. Hipodromo,U$S 70.000,201
3 Dormitorios en Maroñas,U$S 70.000,77
3 Dormitorios en Villa Española,U$S 70.000,66
