desc,valor,metraje,url,lat,lng,dormitorios,barrio,barrio_ine,cod_barrio_ine,valor_metro
1 Dormitorio en Peñarol,50000,43,https://www.gallito.com.uy/con-renta-con-gtia-contaduria-muy-prolija-inmuebles-16608558,-34.82492,-56.20902,1 Dormitorio,Peñarol,"Peñarol, Lavalleja",34.0,1162.7906976744187
1 Dormitorio en Villa Española,51990,40,https://www.gallito.com.uy/oportunidad-de-inversion-hermosa-casa-de-1-dormitorio-inmuebles-19444458,-34.86428,-56.14492,1 Dormitorio,Villa Española,Villa Española,24.0,1299.75
1 Dormitorio en Villa Española,51990,40,https://www.gallito.com.uy/oportunidad-de-inversion-hermosa-casa-de-1-dormitorio-inmuebles-19444453,-34.86428,-56.14492,1 Dormitorio,Villa Española,Villa Española,24.0,1299.75
2 Dormitorios en Colon,52000,70,https://www.gallito.com.uy/venta-casa-2-dormitorios-colon-inmuebles-17853576,-34.8084,-56.22477,2 Dormitorios,Colon,"Colón Sureste, Abayubá",58.0,742.8571428571429
1 Dormitorio en Aires Puros,52500,25,https://www.gallito.com.uy/casa-1-dorm-y-patio-en-av-general-flores-inmuebles-20067142,-34.8586,-56.16531,1 Dormitorio,Aires Puros,Aires Puros,29.0,2100.0
2 Dormitorios en Perez Castellanos,53000,60,https://www.gallito.com.uy/amplia-y-luminosa-casa-al-fondo-inmuebles-19714756,-34.85349,-56.15242,2 Dormitorios,Perez Castellanos,"Castro, P. Castellanos",26.0,883.3333333333334
2 Dormitorios en Colon,53000,60,https://www.gallito.com.uy/arteaga-hill-vende-casa-2-domritorios-excelente-inmuebles-20059567,,,2 Dormitorios,Colon,"Colón Sureste, Abayubá",58.0,883.3333333333334
2 Dormitorios en Peñarol,53000,30,https://www.gallito.com.uy/venta-casa-2-dormitorios-peñarol-inmuebles-19567072,-34.82483,-56.20842,2 Dormitorios,Peñarol,"Peñarol, Lavalleja",34.0,1766.6666666666667
1 Dormitorio en Colon,54000,38,https://www.gallito.com.uy/casa-a-la-venta-en-colon-inmuebles-14586875,-34.80312,-56.21784,1 Dormitorio,Colon,"Colón Sureste, Abayubá",58.0,1421.0526315789473
1 Dormitorio en Manga,54000,42,https://www.gallito.com.uy/excelente-casa-con-jadrin-y-parrillero-acepta-bco-inmuebles-20040532,-34.81678,-56.14388,1 Dormitorio,Manga,Manga,62.0,1285.7142857142858
1 Dormitorio en Union,54000,37,https://www.gallito.com.uy/casa-un-dormitorio-venta-union-con-patio-inmuebles-20033549,,,1 Dormitorio,Union,Unión,23.0,1459.4594594594594
1 Dormitorio en Union,54000,72,https://www.gallito.com.uy/venta-casa1-dormitorio-union-inmuebles-20033644,,,1 Dormitorio,Union,Unión,23.0,750.0
3 Dormitorios en Centro,54900,140,https://www.gallito.com.uy/casa-de-3-dormitorios-en-venta-montevideo-inmuebles-19015337,,,3 Dormitorios,Centro,Centro,2.0,392.14285714285717
3 Dormitorios en Nuevo Paris,55000,61,https://www.gallito.com.uy/cooperativa-sin-saldo-pronta-para-entrar-y-con-garage-inmuebles-15666723,-34.8401,-56.23979,3 Dormitorios,Nuevo Paris,"Mercado Modelo, Bolívar",25.0,901.639344262295
1 Dormitorio en Brazo Oriental,55000,45,https://www.gallito.com.uy/guillermo-tell-1-dormitorio-liv-com-coc-patio-uss-55000-inmuebles-18990863,,,1 Dormitorio,Brazo Oriental,Brazo Oriental,51.0,1222.2222222222222
2 Dormitorios en Piedras Blancas,55000,44,https://www.gallito.com.uy/capitan-tula-en-complejo-cerrado-inmuebles-18443177,,,2 Dormitorios,Piedras Blancas,Piedras Blancas,31.0,1250.0
2 Dormitorios en Brazo Oriental,55000,75,https://www.gallito.com.uy/venta-casa-brazo-oriental-inmuebles-19103632,-34.86615,-56.17504,2 Dormitorios,Brazo Oriental,Brazo Oriental,51.0,733.3333333333334
2 Dormitorios en Union,55000,80,https://www.gallito.com.uy/casa-tipo-apto-jardin-ccochera-parrillero-union-proximo-a-inmuebles-19097082,-34.87222,-56.12632,2 Dormitorios,Union,Unión,23.0,687.5
1 Dormitorio en Paso De La Arena,55000,50,https://www.gallito.com.uy/casa-con-terreno-y-entrada-lateral-inmuebles-17825214,-34.83081,-56.27345,1 Dormitorio,Paso De La Arena,Paso de la Arena,57.0,1100.0
3 Dormitorios en Colon,55000,51,https://www.gallito.com.uy/venta-casa-3-dormitorios-fondo-colon-inmuebles-20101270,-34.80195,-56.22162,3 Dormitorios,Colon,"Colón Sureste, Abayubá",58.0,1078.4313725490197
2 Dormitorios en Maroñas,55000,60,https://www.gallito.com.uy/vende-casa-2-dormitorios-patio-y-cochera-flor-de-maroñas-inmuebles-19813921,-34.84687,-56.12199,2 Dormitorios,Maroñas,"Maroñas, Parque Guaraní",17.0,916.6666666666666
