desc,valor,metraje,dormitorios,barrio
2 Dormitorios en Tres Cruces,159000,100.0,2 Dormitorios,Tres Cruces
2 Dormitorios en Tres Cruces,159000,85.0,2 Dormitorios,Tres Cruces
2 Dormitorios en Brazo Oriental,159000,102.0,2 Dormitorios,Brazo Oriental
2 Dormitorios en La Blanqueada,159000,92.0,2 Dormitorios,La Blanqueada
2 Dormitorios en La Blanqueada,159000,94.0,2 Dormitorios,La Blanqueada
2 Dormitorios en Aires Puros,159500,120.0,2 Dormitorios,Aires Puros
2 Dormitorios en La Blanqueada,159900,65.0,2 Dormitorios,La Blanqueada
2 Dormitorios en Atahualpa,160000,85.0,2 Dormitorios,Atahualpa
3 Dormitorios en Ciudad Vieja,160000,,3 Dormitorios,Ciudad Vieja
2 Dormitorios en La Blanqueada,160000,65.0,2 Dormitorios,La Blanqueada
3 Dormitorios en Sayago,160000,150.0,3 Dormitorios,Sayago
3 Dormitorios en Villa Española,160000,139.0,3 Dormitorios,Villa Española
2 Dormitorios en Prado,160000,82.0,2 Dormitorios,Prado
1 Ambiente en Reducto,160000,100.0,1 Ambiente,Reducto
2 Dormitorios en La Blanqueada,160000,,2 Dormitorios,La Blanqueada
3 Dormitorios en Capurro,160000,120.0,3 Dormitorios,Capurro
3 Dormitorios en Ciudad Vieja,160000,,3 Dormitorios,Ciudad Vieja
Más de 4 dormitorios en Cerrito,160000,,Más de 4 dormitorios,Cerrito
2 Dormitorios en La Comercial,160000,102.0,2 Dormitorios,La Comercial
4 Dormitorios en La Comercial,160000,,4 Dormitorios,La Comercial
3 Dormitorios en La Blanqueada,160000,70.0,3 Dormitorios,La Blanqueada
3 Dormitorios en Colon,160000,128.0,3 Dormitorios,Colon
2 Dormitorios en Buceo,160000,51.0,2 Dormitorios,Buceo
1 Dormitorio en Punta Carretas,160000,52.0,1 Dormitorio,Punta Carretas
3 Dormitorios en Sayago,160000,83.0,3 Dormitorios,Sayago
2 Dormitorios en La Comercial,160000,234.0,2 Dormitorios,La Comercial
4 Dormitorios en La Blanqueada,160000,210.0,4 Dormitorios,La Blanqueada
3 Dormitorios en Nuevo Paris,160000,100.0,3 Dormitorios,Nuevo Paris
3 Dormitorios en La Blanqueada,160000,150.0,3 Dormitorios,La Blanqueada
2 Dormitorios en B. De Carrasco,160000,52.0,2 Dormitorios,B. De Carrasco
2 Dormitorios en Sayago,160000,64.0,2 Dormitorios,Sayago
3 Dormitorios en La Blanqueada,160000,122.0,3 Dormitorios,La Blanqueada
2 Dormitorios en Sayago,160000,70.0,2 Dormitorios,Sayago
2 Dormitorios en Pocitos,160000,60.0,2 Dormitorios,Pocitos
2 Dormitorios en Cordon,160000,60.0,2 Dormitorios,Cordon
Más de 4 dormitorios en Centro,160000,141.0,Más de 4 dormitorios,Centro
2 Dormitorios en Parque Batlle,160000,115.0,2 Dormitorios,Parque Batlle
2 Dormitorios en Brazo Oriental,160000,63.0,2 Dormitorios,Brazo Oriental
4 Dormitorios en Prado,160000,190.0,4 Dormitorios,Prado
3 Dormitorios en Atahualpa,160000,,3 Dormitorios,Atahualpa
2 Dormitorios en Buceo,160000,123.0,2 Dormitorios,Buceo
3 Dormitorios en Aires Puros,160000,340.0,3 Dormitorios,Aires Puros
2 Dormitorios en Goes,160000,80.0,2 Dormitorios,Goes
Más de 4 dormitorios en Cordon,160000,80.0,Más de 4 dormitorios,Cordon
2 Dormitorios en Union,160000,130.0,2 Dormitorios,Union
3 Dormitorios en Colon,160000,109.0,3 Dormitorios,Colon
2 Dormitorios en Cordon,160000,80.0,2 Dormitorios,Cordon
2 Dormitorios en La Comercial,160000,100.0,2 Dormitorios,La Comercial
4 Dormitorios en Buceo,160000,161.0,4 Dormitorios,Buceo
3 Dormitorios en Carrasco Norte,160000,65.0,3 Dormitorios,Carrasco Norte
3 Dormitorios en Aires Puros,160000,150.0,3 Dormitorios,Aires Puros
3 Dormitorios en Puerto Buceo,160000,108.0,3 Dormitorios,Puerto Buceo
1 Dormitorio en Malvin,160000,62.0,1 Dormitorio,Malvin
2 Dormitorios en Pocitos,160000,50.0,2 Dormitorios,Pocitos
Más de 4 dormitorios en Prado,160000,,Más de 4 dormitorios,Prado
3 Dormitorios en Reducto,160000,,3 Dormitorios,Reducto
3 Dormitorios en Barrio Sur,160000,90.0,3 Dormitorios,Barrio Sur
2 Dormitorios en La Blanqueada,160000,70.0,2 Dormitorios,La Blanqueada
4 Dormitorios en Reducto,160000,146.0,4 Dormitorios,Reducto
2 Dormitorios en Brazo Oriental,160000,65.0,2 Dormitorios,Brazo Oriental
2 Dormitorios en La Blanqueada,160000,55.0,2 Dormitorios,La Blanqueada
Más de 4 dormitorios en Pocitos,160000,96.0,Más de 4 dormitorios,Pocitos
3 Dormitorios en Sayago,160000,74.0,3 Dormitorios,Sayago
4 Dormitorios en La Figurita,160000,,4 Dormitorios,La Figurita
2 Dormitorios en La Comercial,160000,80.0,2 Dormitorios,La Comercial
2 Dormitorios en La Blanqueada,160000,101.0,2 Dormitorios,La Blanqueada
3 Dormitorios en Goes,160000,140.0,3 Dormitorios,Goes
2 Dormitorios en Buceo,160000,115.0,2 Dormitorios,Buceo
1 Dormitorio en Otro,160000,58.0,1 Dormitorio,Otro
2 Dormitorios en Goes,160000,200.0,2 Dormitorios,Goes
3 Dormitorios en La Blanqueada,160000,132.0,3 Dormitorios,La Blanqueada
2 Dormitorios en Tres Cruces,160000,,2 Dormitorios,Tres Cruces
2 Dormitorios en Villa Muñoz,160000,80.0,2 Dormitorios,Villa Muñoz
1 Dormitorio en Pocitos,160000,63.0,1 Dormitorio,Pocitos
3 Dormitorios en La Blanqueada,160000,165.0,3 Dormitorios,La Blanqueada
3 Dormitorios en Carrasco,160000,,3 Dormitorios,Carrasco
2 Dormitorios en Carrasco Norte,160000,,2 Dormitorios,Carrasco Norte
2 Dormitorios en Centro,160000,60.0,2 Dormitorios,Centro
2 Dormitorios en Pocitos,160000,60.0,2 Dormitorios,Pocitos
Más de 4 dormitorios en Piedras Blancas,160000,150.0,Más de 4 dormitorios,Piedras Blancas
3 Dormitorios en Palermo,160000,110.0,3 Dormitorios,Palermo
3 Dormitorios en La Blanqueada,160000,123.0,3 Dormitorios,La Blanqueada
Más de 4 dormitorios en La Teja,160000,,Más de 4 dormitorios,La Teja
Más de 4 dormitorios en Reducto,160000,215.0,Más de 4 dormitorios,Reducto
4 Dormitorios en La Comercial,160000,,4 Dormitorios,La Comercial
2 Dormitorios en Carrasco Norte,160000,72.0,2 Dormitorios,Carrasco Norte
1 Dormitorio en Punta Carretas,160000,49.0,1 Dormitorio,Punta Carretas
3 Dormitorios en Buceo,160000,108.0,3 Dormitorios,Buceo
2 Dormitorios en B. De Carrasco,160000,51.0,2 Dormitorios,B. De Carrasco
3 Dormitorios en Malvin Norte,160000,140.0,3 Dormitorios,Malvin Norte
2 Dormitorios en Buceo,160000,123.0,2 Dormitorios,Buceo
2 Dormitorios en Carrasco Norte,160000,117.0,2 Dormitorios,Carrasco Norte
2 Dormitorios en Buceo,160000,60.0,2 Dormitorios,Buceo
2 Dormitorios en La Blanqueada,160000,110.0,2 Dormitorios,La Blanqueada
3 Dormitorios en Pajas Blancas,160000,210.0,3 Dormitorios,Pajas Blancas
2 Dormitorios en Malvin,160000,,2 Dormitorios,Malvin
3 Dormitorios en Atahualpa,162000,80.0,3 Dormitorios,Atahualpa
3 Dormitorios en Carrasco Norte,162000,86.0,3 Dormitorios,Carrasco Norte
2 Dormitorios en Brazo Oriental,162000,100.0,2 Dormitorios,Brazo Oriental
2 Dormitorios en Brazo Oriental,162000,83.0,2 Dormitorios,Brazo Oriental
2 Dormitorios en Jacinto Vera,162000,78.0,2 Dormitorios,Jacinto Vera
2 Dormitorios en Malvin,162000,,2 Dormitorios,Malvin
2 Dormitorios en Jacinto Vera,162000,,2 Dormitorios,Jacinto Vera
2 Dormitorios en Atahualpa,162000,69.0,2 Dormitorios,Atahualpa
2 Dormitorios en Buceo,162000,58.0,2 Dormitorios,Buceo
3 Dormitorios en Aguada,162000,100.0,3 Dormitorios,Aguada
3 Dormitorios en Malvin Norte,162000,98.0,3 Dormitorios,Malvin Norte
2 Dormitorios en Brazo Oriental,162000,98.0,2 Dormitorios,Brazo Oriental
2 Dormitorios en Reducto,162000,73.0,2 Dormitorios,Reducto
2 Dormitorios en Parque Rodo,163000,80.0,2 Dormitorios,Parque Rodo
2 Dormitorios en La Blanqueada,163000,,2 Dormitorios,La Blanqueada
2 Dormitorios en La Blanqueada,163000,103.0,2 Dormitorios,La Blanqueada
3 Dormitorios en Paso De La Arena,163000,144.0,3 Dormitorios,Paso De La Arena
3 Dormitorios en Malvin,163000,96.0,3 Dormitorios,Malvin
2 Dormitorios en Aires Puros,163000,80.0,2 Dormitorios,Aires Puros
2 Dormitorios en La Blanqueada,163000,,2 Dormitorios,La Blanqueada
3 Dormitorios en Cerrito,163000,140.0,3 Dormitorios,Cerrito
3 Dormitorios en Malvin Norte,163000,96.0,3 Dormitorios,Malvin Norte
3 Dormitorios en Paso De La Arena,163000,300.0,3 Dormitorios,Paso De La Arena
2 Dormitorios en Pocitos,163000,70.0,2 Dormitorios,Pocitos
2 Dormitorios en Sayago,163000,139.0,2 Dormitorios,Sayago
2 Dormitorios en Pocitos,163000,70.0,2 Dormitorios,Pocitos
2 Dormitorios en La Blanqueada,163000,75.0,2 Dormitorios,La Blanqueada
2 Dormitorios en Brazo Oriental,163000,269.0,2 Dormitorios,Brazo Oriental
2 Dormitorios en La Blanqueada,163000,90.0,2 Dormitorios,La Blanqueada
4 Dormitorios en Tres Cruces,164000,117.0,4 Dormitorios,Tres Cruces
4 Dormitorios en Parque Batlle,164000,117.0,4 Dormitorios,Parque Batlle
4 Dormitorios en Aguada,164000,117.0,4 Dormitorios,Aguada
4 Dormitorios en Tres Cruces,164000,117.0,4 Dormitorios,Tres Cruces
4 Dormitorios en La Comercial,164000,117.0,4 Dormitorios,La Comercial
4 Dormitorios en Otro,164000,117.0,4 Dormitorios,Otro
4 Dormitorios en Cordon,164000,117.0,4 Dormitorios,Cordon
3 Dormitorios en Malvin Norte,164000,,3 Dormitorios,Malvin Norte
4 Dormitorios en La Comercial,164000,117.0,4 Dormitorios,La Comercial
3 Dormitorios en Sayago,164000,250.0,3 Dormitorios,Sayago
3 Dormitorios en Palermo,165000,,3 Dormitorios,Palermo
3 Dormitorios en Brazo Oriental,165000,110.0,3 Dormitorios,Brazo Oriental
2 Dormitorios en Buceo,165000,99.0,2 Dormitorios,Buceo
2 Dormitorios en La Comercial,165000,90.0,2 Dormitorios,La Comercial
3 Dormitorios en La Comercial,165000,122.0,3 Dormitorios,La Comercial
2 Dormitorios en Buceo,165000,90.0,2 Dormitorios,Buceo
3 Dormitorios en Cerrito,165000,,3 Dormitorios,Cerrito
2 Dormitorios en Parque Rodo,165000,71.0,2 Dormitorios,Parque Rodo
4 Dormitorios en La Comercial,165000,154.0,4 Dormitorios,La Comercial
2 Dormitorios en Aires Puros,165000,,2 Dormitorios,Aires Puros
2 Dormitorios en Parque Batlle,165000,100.0,2 Dormitorios,Parque Batlle
2 Dormitorios en Carrasco Norte,165000,77.0,2 Dormitorios,Carrasco Norte
2 Dormitorios en Villa Dolores,165000,95.0,2 Dormitorios,Villa Dolores
2 Dormitorios en Cno. Maldonado,165000,,2 Dormitorios,Cno. Maldonado
2 Dormitorios en Parque Batlle,165000,100.0,2 Dormitorios,Parque Batlle
2 Dormitorios en Jacinto Vera,165000,,2 Dormitorios,Jacinto Vera
2 Dormitorios en Buceo,165000,80.0,2 Dormitorios,Buceo
2 Dormitorios en Buceo,165000,90.0,2 Dormitorios,Buceo
2 Dormitorios en Malvin,165000,79.0,2 Dormitorios,Malvin
1 Ambiente en Nuevo Centro,165000,326.0,1 Ambiente,Nuevo Centro
Más de 4 dormitorios en Malvin,165000,66.0,Más de 4 dormitorios,Malvin
3 Dormitorios en Colon,165000,,3 Dormitorios,Colon
3 Dormitorios en Cordon,165000,347.0,3 Dormitorios,Cordon
Más de 4 dormitorios en Sayago,165000,,Más de 4 dormitorios,Sayago
Más de 4 dormitorios en Aguada,165000,290.0,Más de 4 dormitorios,Aguada
2 Dormitorios en Palermo,165000,140.0,2 Dormitorios,Palermo
4 Dormitorios en Cordon,165000,95.0,4 Dormitorios,Cordon
2 Dormitorios en Prado,165000,80.0,2 Dormitorios,Prado
3 Dormitorios en Union,165000,103.0,3 Dormitorios,Union
Más de 4 dormitorios en Colon,165000,284.0,Más de 4 dormitorios,Colon
2 Dormitorios en Pocitos,165000,120.0,2 Dormitorios,Pocitos
2 Dormitorios en Buceo,165000,102.0,2 Dormitorios,Buceo
2 Dormitorios en Parque Batlle,165000,83.0,2 Dormitorios,Parque Batlle
Más de 4 dormitorios en Villa Muñoz,165000,200.0,Más de 4 dormitorios,Villa Muñoz
2 Dormitorios en Bella Vista,165000,88.0,2 Dormitorios,Bella Vista
2 Dormitorios en La Blanqueada,165000,50.0,2 Dormitorios,La Blanqueada
3 Dormitorios en Belvedere,165000,80.0,3 Dormitorios,Belvedere
3 Dormitorios en La Comercial,165000,122.0,3 Dormitorios,La Comercial
2 Dormitorios en Prado,165000,80.0,2 Dormitorios,Prado
3 Dormitorios en Prado Norte,165000,89.0,3 Dormitorios,Prado Norte
3 Dormitorios en Belvedere,165000,100.0,3 Dormitorios,Belvedere
3 Dormitorios en Union,165000,196.0,3 Dormitorios,Union
2 Dormitorios en La Blanqueada,165000,70.0,2 Dormitorios,La Blanqueada
2 Dormitorios en Carrasco Norte,165000,,2 Dormitorios,Carrasco Norte
Más de 4 dormitorios en Reducto,165000,146.0,Más de 4 dormitorios,Reducto
2 Dormitorios en Parque Batlle,165000,70.0,2 Dormitorios,Parque Batlle
2 Dormitorios en Malvin Norte,165000,,2 Dormitorios,Malvin Norte
2 Dormitorios en Prado,165000,76.0,2 Dormitorios,Prado
3 Dormitorios en Union,165000,196.0,3 Dormitorios,Union
2 Dormitorios en La Blanqueada,165000,70.0,2 Dormitorios,La Blanqueada
2 Dormitorios en Parque Batlle,165000,65.0,2 Dormitorios,Parque Batlle
Más de 4 dormitorios en Prado,165000,209.0,Más de 4 dormitorios,Prado
2 Dormitorios en Prado,165000,92.0,2 Dormitorios,Prado
2 Dormitorios en Villa Dolores,165000,,2 Dormitorios,Villa Dolores
4 Dormitorios en Maroñas,165000,,4 Dormitorios,Maroñas
4 Dormitorios en La Comercial,165000,163.0,4 Dormitorios,La Comercial
2 Dormitorios en Parque Batlle,165000,120.0,2 Dormitorios,Parque Batlle
2 Dormitorios en Carrasco Norte,165000,77.0,2 Dormitorios,Carrasco Norte
2 Dormitorios en Parque Batlle,165000,95.0,2 Dormitorios,Parque Batlle
4 Dormitorios en Aguada,165000,403.0,4 Dormitorios,Aguada
3 Dormitorios en Jacinto Vera,166000,90.0,3 Dormitorios,Jacinto Vera
2 Dormitorios en Sayago,166000,139.0,2 Dormitorios,Sayago
3 Dormitorios en Aires Puros,166000,136.0,3 Dormitorios,Aires Puros
4 Dormitorios en Las Acacias,166000,182.0,4 Dormitorios,Las Acacias
2 Dormitorios en Atahualpa,167000,75.0,2 Dormitorios,Atahualpa
2 Dormitorios en Atahualpa,167000,,2 Dormitorios,Atahualpa
3 Dormitorios en Goes,167000,92.0,3 Dormitorios,Goes
2 Dormitorios en Atahualpa,167000,110.0,2 Dormitorios,Atahualpa
3 Dormitorios en Carrasco,167900,72.0,3 Dormitorios,Carrasco
3 Dormitorios en Punta Gorda,167900,72.0,3 Dormitorios,Punta Gorda
2 Dormitorios en Buceo,168000,60.0,2 Dormitorios,Buceo
2 Dormitorios en Villa Dolores,168000,75.0,2 Dormitorios,Villa Dolores
3 Dormitorios en Malvin,168000,80.0,3 Dormitorios,Malvin
2 Dormitorios en Buceo,168000,79.0,2 Dormitorios,Buceo
2 Dormitorios en Pocitos,168000,75.0,2 Dormitorios,Pocitos
3 Dormitorios en Capurro,168000,80.0,3 Dormitorios,Capurro
2 Dormitorios en Buceo,168000,1.0,2 Dormitorios,Buceo
3 Dormitorios en Carrasco Norte,168000,,3 Dormitorios,Carrasco Norte
3 Dormitorios en Sayago,168000,,3 Dormitorios,Sayago
3 Dormitorios en Perez Castellanos,168000,64.0,3 Dormitorios,Perez Castellanos
2 Dormitorios en Parque Batlle,168000,95.0,2 Dormitorios,Parque Batlle
2 Dormitorios en Buceo,168000,,2 Dormitorios,Buceo
4 Dormitorios en Cordon,168000,,4 Dormitorios,Cordon
3 Dormitorios en Goes,168000,133.0,3 Dormitorios,Goes
2 Dormitorios en Pocitos,168000,,2 Dormitorios,Pocitos
2 Dormitorios en Pocitos Nuevo,168000,75.0,2 Dormitorios,Pocitos Nuevo
2 Dormitorios en Villa Dolores,168000,100.0,2 Dormitorios,Villa Dolores
3 Dormitorios en Prado Norte,168000,102.0,3 Dormitorios,Prado Norte
2 Dormitorios en Parque Batlle,168000,100.0,2 Dormitorios,Parque Batlle
3 Dormitorios en Carrasco,168000,85.0,3 Dormitorios,Carrasco
2 Dormitorios en Prado,168000,70.0,2 Dormitorios,Prado
3 Dormitorios en Palermo,169000,136.0,3 Dormitorios,Palermo
3 Dormitorios en La Blanqueada,169000,91.0,3 Dormitorios,La Blanqueada
2 Dormitorios en Atahualpa,169000,100.0,2 Dormitorios,Atahualpa
1 Dormitorio en Malvin,169000,47.0,1 Dormitorio,Malvin
Más de 4 dormitorios en Bella Vista,169000,203.0,Más de 4 dormitorios,Bella Vista
3 Dormitorios en La Blanqueada,169000,86.0,3 Dormitorios,La Blanqueada
2 Dormitorios en Pocitos Nuevo,169000,76.0,2 Dormitorios,Pocitos Nuevo
2 Dormitorios en Prado,169000,100.0,2 Dormitorios,Prado
3 Dormitorios en La Blanqueada,169000,85.0,3 Dormitorios,La Blanqueada
3 Dormitorios en Reducto,169000,113.0,3 Dormitorios,Reducto
2 Dormitorios en Union,169000,110.0,2 Dormitorios,Union
3 Dormitorios en La Blanqueada,169000,72.0,3 Dormitorios,La Blanqueada
4 Dormitorios en Barrio Sur,169000,139.0,4 Dormitorios,Barrio Sur
3 Dormitorios en La Blanqueada,169000,95.0,3 Dormitorios,La Blanqueada
3 Dormitorios en Cordon,169000,136.0,3 Dormitorios,Cordon
3 Dormitorios en Cordon,169000,98.0,3 Dormitorios,Cordon
2 Dormitorios en Prado,169000,100.0,2 Dormitorios,Prado
4 Dormitorios en Peñarol,169000,560.0,4 Dormitorios,Peñarol
2 Dormitorios en Parque Batlle,169000,82.0,2 Dormitorios,Parque Batlle
3 Dormitorios en Cordon,169000,163.0,3 Dormitorios,Cordon
3 Dormitorios en La Blanqueada,169000,85.0,3 Dormitorios,La Blanqueada
2 Dormitorios en Cerrito,169000,131.0,2 Dormitorios,Cerrito
3 Dormitorios en Cordon,169500,115.0,3 Dormitorios,Cordon
2 Dormitorios en La Comercial,170000,57.0,2 Dormitorios,La Comercial
1 Ambiente en Ciudad Vieja,170000,304.0,1 Ambiente,Ciudad Vieja
4 Dormitorios en Centro,170000,280.0,4 Dormitorios,Centro
3 Dormitorios en Brazo Oriental,170000,107.0,3 Dormitorios,Brazo Oriental
3 Dormitorios en Paso Molino,170000,,3 Dormitorios,Paso Molino
3 Dormitorios en Belvedere,170000,90.0,3 Dormitorios,Belvedere
4 Dormitorios en Lezica,170000,,4 Dormitorios,Lezica
2 Dormitorios en Jacinto Vera,170000,113.0,2 Dormitorios,Jacinto Vera
2 Dormitorios en Cordon,170000,75.0,2 Dormitorios,Cordon
Más de 4 dormitorios en Ciudad Vieja,170000,123.0,Más de 4 dormitorios,Ciudad Vieja
2 Dormitorios en Carrasco Norte,170000,70.0,2 Dormitorios,Carrasco Norte
3 Dormitorios en Malvin,170000,105.0,3 Dormitorios,Malvin
2 Dormitorios en Prado,170000,60.0,2 Dormitorios,Prado
3 Dormitorios en Prado,170000,,3 Dormitorios,Prado
2 Dormitorios en Tres Cruces,170000,57.0,2 Dormitorios,Tres Cruces
4 Dormitorios en Cordon,170000,120.0,4 Dormitorios,Cordon
3 Dormitorios en Brazo Oriental,170000,85.0,3 Dormitorios,Brazo Oriental
3 Dormitorios en La Blanqueada,170000,74.0,3 Dormitorios,La Blanqueada
Más de 4 dormitorios en Cerro,170000,157.0,Más de 4 dormitorios,Cerro
2 Dormitorios en Reducto,170000,55.0,2 Dormitorios,Reducto
2 Dormitorios en Palermo,170000,76.0,2 Dormitorios,Palermo
Más de 4 dormitorios en Cerrito,170000,270.0,Más de 4 dormitorios,Cerrito
4 Dormitorios en Lezica,170000,145.0,4 Dormitorios,Lezica
3 Dormitorios en Colon,170000,,3 Dormitorios,Colon
2 Dormitorios en Reducto,170000,80.0,2 Dormitorios,Reducto
Más de 4 dormitorios en Ciudad Vieja,170000,385.0,Más de 4 dormitorios,Ciudad Vieja
3 Dormitorios en Colon,170000,150.0,3 Dormitorios,Colon
3 Dormitorios en Lezica,170000,115.0,3 Dormitorios,Lezica
Más de 4 dormitorios en La Comercial,170000,176.0,Más de 4 dormitorios,La Comercial
Más de 4 dormitorios en Barrio Sur,170000,123.0,Más de 4 dormitorios,Barrio Sur
2 Dormitorios en Brazo Oriental,170000,70.0,2 Dormitorios,Brazo Oriental
3 Dormitorios en Capurro,170000,200.0,3 Dormitorios,Capurro
2 Dormitorios en Parque Batlle,170000,180.0,2 Dormitorios,Parque Batlle
Más de 4 dormitorios en Prado,170000,200.0,Más de 4 dormitorios,Prado
Más de 4 dormitorios en Ciudad Vieja,170000,361.0,Más de 4 dormitorios,Ciudad Vieja
3 Dormitorios en Cordon,170000,151.0,3 Dormitorios,Cordon
Más de 4 dormitorios en Ciudad Vieja,170000,353.0,Más de 4 dormitorios,Ciudad Vieja
4 Dormitorios en Centro,170000,138.0,4 Dormitorios,Centro
4 Dormitorios en Colon,170000,410.0,4 Dormitorios,Colon
3 Dormitorios en Brazo Oriental,170000,86.0,3 Dormitorios,Brazo Oriental
2 Dormitorios en Cordon,170000,81.0,2 Dormitorios,Cordon
3 Dormitorios en Punta Gorda,170000,72.0,3 Dormitorios,Punta Gorda
3 Dormitorios en Carrasco Norte,170000,110.0,3 Dormitorios,Carrasco Norte
1 Dormitorio en Parque Batlle,170000,98.0,1 Dormitorio,Parque Batlle
3 Dormitorios en Barrio Sur,170000,123.0,3 Dormitorios,Barrio Sur
Más de 4 dormitorios en Palermo,170000,123.0,Más de 4 dormitorios,Palermo
2 Dormitorios en Aguada,170000,262.0,2 Dormitorios,Aguada
4 Dormitorios en Ciudad Vieja,170000,124.0,4 Dormitorios,Ciudad Vieja
2 Dormitorios en Parque Batlle,170000,120.0,2 Dormitorios,Parque Batlle
3 Dormitorios en Ciudad Vieja,170000,361.0,3 Dormitorios,Ciudad Vieja
3 Dormitorios en Buceo,170000,97.0,3 Dormitorios,Buceo
2 Dormitorios en Parque Batlle,170000,110.0,2 Dormitorios,Parque Batlle
3 Dormitorios en La Blanqueada,170000,90.0,3 Dormitorios,La Blanqueada
3 Dormitorios en Ciudad Vieja,170000,290.0,3 Dormitorios,Ciudad Vieja
2 Dormitorios en Sayago,170000,120.0,2 Dormitorios,Sayago
2 Dormitorios en Reducto,170000,100.0,2 Dormitorios,Reducto
2 Dormitorios en Pocitos,170000,58.0,2 Dormitorios,Pocitos
Más de 4 dormitorios en Ciudad Vieja,170000,249.0,Más de 4 dormitorios,Ciudad Vieja
4 Dormitorios en Paso Molino,170000,173.0,4 Dormitorios,Paso Molino
Más de 4 dormitorios en Ciudad Vieja,170000,350.0,Más de 4 dormitorios,Ciudad Vieja
3 Dormitorios en Cerrito,170000,90.0,3 Dormitorios,Cerrito
3 Dormitorios en Ciudad Vieja,170000,153.0,3 Dormitorios,Ciudad Vieja
Más de 4 dormitorios en Ciudad Vieja,170000,362.0,Más de 4 dormitorios,Ciudad Vieja
2 Dormitorios en Pocitos,170000,87.0,2 Dormitorios,Pocitos
2 Dormitorios en La Blanqueada,170000,86.0,2 Dormitorios,La Blanqueada
2 Dormitorios en Parque Batlle,170000,115.0,2 Dormitorios,Parque Batlle
4 Dormitorios en Aguada,170000,181.0,4 Dormitorios,Aguada
2 Dormitorios en Tres Cruces,170000,90.0,2 Dormitorios,Tres Cruces
2 Dormitorios en Malvin,172000,89.0,2 Dormitorios,Malvin
3 Dormitorios en Parque Batlle,172000,80.0,3 Dormitorios,Parque Batlle
2 Dormitorios en La Blanqueada,172500,66.0,2 Dormitorios,La Blanqueada
Más de 4 dormitorios en Parque Batlle,173000,170.0,Más de 4 dormitorios,Parque Batlle
2 Dormitorios en Parque Batlle,173000,73.0,2 Dormitorios,Parque Batlle
3 Dormitorios en Jacinto Vera,173000,144.0,3 Dormitorios,Jacinto Vera
2 Dormitorios en La Comercial,173000,178.0,2 Dormitorios,La Comercial
3 Dormitorios en Perez Castellanos,173000,120.0,3 Dormitorios,Perez Castellanos
Más de 4 dormitorios en Buceo,173000,170.0,Más de 4 dormitorios,Buceo
3 Dormitorios en Nuevo Paris,173000,150.0,3 Dormitorios,Nuevo Paris
2 Dormitorios en Buceo,173000,60.0,2 Dormitorios,Buceo
Más de 4 dormitorios en Cordon,173000,220.0,Más de 4 dormitorios,Cordon
3 Dormitorios en Parque Batlle,173000,60.0,3 Dormitorios,Parque Batlle
3 Dormitorios en Villa Dolores,173000,118.0,3 Dormitorios,Villa Dolores
2 Dormitorios en Jacinto Vera,173000,178.0,2 Dormitorios,Jacinto Vera
2 Dormitorios en Buceo,173000,60.0,2 Dormitorios,Buceo
4 Dormitorios en Colon,173000,120.0,4 Dormitorios,Colon
Más de 4 dormitorios en Ciudad Vieja,174000,400.0,Más de 4 dormitorios,Ciudad Vieja
3 Dormitorios en Cordon,174900,200.0,3 Dormitorios,Cordon
3 Dormitorios en Palermo,175000,104.0,3 Dormitorios,Palermo
2 Dormitorios en La Comercial,175000,70.0,2 Dormitorios,La Comercial
2 Dormitorios en Brazo Oriental,175000,90.0,2 Dormitorios,Brazo Oriental
3 Dormitorios en Sayago,175000,100.0,3 Dormitorios,Sayago
2 Dormitorios en Buceo,175000,,2 Dormitorios,Buceo
2 Dormitorios en Carrasco Norte,175000,63.0,2 Dormitorios,Carrasco Norte
3 Dormitorios en Palermo,175000,70.0,3 Dormitorios,Palermo
2 Dormitorios en Prado,175000,100.0,2 Dormitorios,Prado
2 Dormitorios en Buceo,175000,100.0,2 Dormitorios,Buceo
3 Dormitorios en Sayago,175000,120.0,3 Dormitorios,Sayago
2 Dormitorios en Carrasco,175000,66.0,2 Dormitorios,Carrasco
3 Dormitorios en Centro,175000,104.0,3 Dormitorios,Centro
Más de 4 dormitorios en Atahualpa,175000,170.0,Más de 4 dormitorios,Atahualpa
2 Dormitorios en Malvin Norte,175000,120.0,2 Dormitorios,Malvin Norte
2 Dormitorios en Bolivar,175000,81.0,2 Dormitorios,Bolivar
3 Dormitorios en La Blanqueada,175000,80.0,3 Dormitorios,La Blanqueada
2 Dormitorios en Malvin,175000,63.0,2 Dormitorios,Malvin
2 Dormitorios en Jacinto Vera,175000,156.0,2 Dormitorios,Jacinto Vera
3 Dormitorios en Cordon,175000,104.0,3 Dormitorios,Cordon
2 Dormitorios en Pocitos,175000,124.0,2 Dormitorios,Pocitos
2 Dormitorios en Carrasco Norte,175000,80.0,2 Dormitorios,Carrasco Norte
3 Dormitorios en Carrasco Norte,175000,90.0,3 Dormitorios,Carrasco Norte
4 Dormitorios en Arroyo Seco,175000,156.0,4 Dormitorios,Arroyo Seco
3 Dormitorios en Carrasco,175000,76.0,3 Dormitorios,Carrasco
2 Dormitorios en Capurro,175000,110.0,2 Dormitorios,Capurro
4 Dormitorios en Otro,175000,141.0,4 Dormitorios,Otro
3 Dormitorios en Reducto,175000,118.0,3 Dormitorios,Reducto
