desc,valor,url,lat,lng
2 Dormitorios,U$S 150.000,https://www.gallito.com.uy/ideal-vivienda-o-local-comercial-inmuebles-19439703,,
2 Dormitorios - 120 m2,U$S 150.000,https://www.gallito.com.uy/2-dormitorios-a-3-cuadras-de-ruta-10-inmuebles-19872091,-34.85169,-54.71364
2 Dormitorios,U$S 155.000,https://www.gallito.com.uy/divina-ph-de-2-dormitorios-inmuebles-19896033,,
2 Dormitorios,U$S 159.000,https://www.gallito.com.uy/venta-casa-2-dormitorios-rincon-del-indio-punta-del-este-inmuebles-19661211,-34.92645,-54.8949
2 Dormitorios,U$S 160.000,https://www.gallito.com.uy/cabaã±a-en-rincon-del-indio-zona-tranquila-buen-entorno-inmuebles-20107685,,
3 Dormitorios,U$S 160.000,https://www.gallito.com.uy/casa-en-venta-la-barra-3-dormitorios-inmuebles-17750353,-34.90933,-54.86441
2 Dormitorios,U$S 160.000,https://www.gallito.com.uy/cabaã±a-en-rincon-del-indio-zona-tranquila-buen-entorno-inmuebles-17843143,,
2 Dormitorios,U$S 160.000,https://www.gallito.com.uy/venta-de-casa-de-2-dormitorios-en-rincon-del-indio-punta-de-inmuebles-19879196,,
3 Dormitorios,U$S 160.000,https://www.gallito.com.uy/casa-en-la-barra-3-dormitorios-con-parrillero-inmuebles-19856349,,
2 Dormitorios,U$S 160.000,https://www.gallito.com.uy/cabaã±a-en-rincon-del-indio-zona-tranquila-buen-entorno-inmuebles-20117892,,
2 Dormitorios,U$S 160.000,https://www.gallito.com.uy/moderna-casa-de-dos-dormitorios-en-venta-jardines-de-cod-inmuebles-18603040,,
2 Dormitorios,U$S 160.000,https://www.gallito.com.uy/moderna-casa-de-dos-dormitorios-en-venta-jardines-de-cod-inmuebles-18410580,,
2 Dormitorios,U$S 162.000,https://www.gallito.com.uy/casa-en-rincon-del-indio-inmuebles-18602904,,
2 Dormitorios,U$S 162.000,https://www.gallito.com.uy/casa-en-rincon-del-indio-inmuebles-17635429,,
2 Dormitorios,U$S 165.000,https://www.gallito.com.uy/casa-en-mansa-2-dormitorios-inmuebles-19927124,,
3 Dormitorios,U$S 165.000,https://www.gallito.com.uy/casa-en-punta-del-este-rincãâ³n-del-indio-propiedadesuy-inmuebles-19646822,-34.92702,-54.89391
3 Dormitorios - 90 m2,U$S 165.000,https://www.gallito.com.uy/apartamento-en-venta-3-dormitorios-en-playa-brava-ref-282-inmuebles-17576774,-34.90402,-54.99065
