desc,valor,metraje,url,lat,lng
1 Dormitorio en Cno. Maldonado,U$S 42.000,,https://www.gallito.com.uy/cno-maldonado-6111-casi-napoles-inmuebles-19378054,,
1 Dormitorio en Las Acacias,U$S 42.000,,https://www.gallito.com.uy/estudio-azul-casa-con-buena-renta-inmuebles-12198173,-34.8444,-56.15698
2 Dormitorios en Aires Puros,U$S 43.000,269.0,https://www.gallito.com.uy/baldovino-fcogoyen-y-jbatlle-y-ordoñez-inmuebles-19238940,,
2 Dormitorios en Sayago,U$S 43.000,46.0,https://www.gallito.com.uy/mitad-contado-y-financiamos-la-otra-mitad-inmuebles-15736128,-34.82136,-56.23816
3 Dormitorios en Piedras Blancas,U$S 44.000,,https://www.gallito.com.uy/leandro-gomez-casi-av-mendoza-inmuebles-19378121,,
2 Dormitorios en Aires Puros,U$S 44.500,50.0,https://www.gallito.com.uy/casa-2-dormitorios-aires-puros-inmuebles-17709324,-34.85332,-56.1855
3 Dormitorios en Cno. Maldonado,U$S 45.000,74.0,https://www.gallito.com.uy/casa-y-apto-en-ph-con-amplio-terreno-inmuebles-16135890,,
2 Dormitorios en Punta Rieles,U$S 45.000,,https://www.gallito.com.uy/mazzarino-esq-chon-inmuebles-19378125,,
1 Dormitorio en Peñarol,U$S 45.000,39.0,https://www.gallito.com.uy/casa-de-planchada-en-ph-al-fondo-inmuebles-14480027,-34.82083,-56.21378
3 Dormitorios en Manga,U$S 45.000,120.0,https://www.gallito.com.uy/casa-en-barrio-capra-inmuebles-20001884,-34.80377,-56.11625
1 Dormitorio en Lezica,U$S 45.000,,https://www.gallito.com.uy/tipo-casita-al-fdo-camplio-terreno-inmuebles-18734888,,
2 Dormitorios en Cerrito,U$S 45.000,60.0,https://www.gallito.com.uy/excelente-oportunidad-casa-sobre-e-vega-2-dormitorios-inmuebles-16193612,-34.85072,-56.16688
1 Dormitorio en Cerrito,U$S 45.000,41.0,https://www.gallito.com.uy/casa-sobre-estanislao-vega-prox-av-burgues-inmuebles-16860179,-34.84887,-56.17514
2 Dormitorios en Belvedere,U$S 45.000,66.0,https://www.gallito.com.uy/casa-en-1-planta-con-potencial-de-terreno-a-reciclar-inmuebles-16919017,-34.84817,-56.2359
2 Dormitorios en Cerro,U$S 45.000,80.0,https://www.gallito.com.uy/venta-casa-barcelona-y-puerto-rico-cerro-inmuebles-19379567,-34.88934,-56.25583
