desc,valor,metraje,url,lat,lng,dormitorios,barrio,barrio_ine,cod_barrio_ine
3 Dormitorios en Reducto,109000,185.0,https://www.gallito.com.uy/urgencia-por-vender-padron-unico-inmuebles-19907815,-34.8838,-56.19336,3 Dormitorios,Reducto,Reducto,42.0
2 Dormitorios en Brazo Oriental,109000,68.0,https://www.gallito.com.uy/excelente-oportunidad-vivienda-o-renta-inmuebles-19353334,,,2 Dormitorios,Brazo Oriental,Brazo Oriental,51.0
3 Dormitorios en Aguada,109000,185.0,https://www.gallito.com.uy/casa-pu-en-gral-luna-y-agraciada-con-local-o-gge-inmuebles-19907796,-34.88373,-56.19357,3 Dormitorios,Aguada,Aguada,41.0
3 Dormitorios en Villa Muñoz,110000,134.0,https://www.gallito.com.uy/venta-de-casa-en-villa-muñoz-prox-nicaragua-y-democracia-inmuebles-20924989,,,3 Dormitorios,Villa Muñoz,"Villa Muñoz, Retiro",48.0
2 Dormitorios en Colon,110000,80.0,https://www.gallito.com.uy/casa-con-jardin-y-fondo-inmuebles-20579131,-34.8116,-56.20464,2 Dormitorios,Colon,"Colón Sureste, Abayubá",58.0
2 Dormitorios en Brazo Oriental,110000,100.0,https://www.gallito.com.uy/venta-casa-brazo-oriental-dos-dormitorios-con-acceso-azotea-inmuebles-15904103,-34.86681,-56.18645,2 Dormitorios,Brazo Oriental,Brazo Oriental,51.0
3 Dormitorios en Brazo Oriental,110000,102.0,https://www.gallito.com.uy/casablanca-a-pasos-de-propios-al-sur-inmuebles-19723157,-34.8556,-56.18233,3 Dormitorios,Brazo Oriental,Brazo Oriental,51.0
3 Dormitorios en Aguada,110000,140.0,https://www.gallito.com.uy/casablanca-a-pasos-de-avenidas-ph-al-frente-inmuebles-20441679,-34.88271,-56.18926,3 Dormitorios,Aguada,Aguada,41.0
3 Dormitorios en Prado,110000,90.0,https://www.gallito.com.uy/venta-casa-de-3-dormitorios-prado-inmuebles-20911423,,,3 Dormitorios,Prado,"Prado, Nueva Savona",39.0
3 Dormitorios en Union,110000,104.0,https://www.gallito.com.uy/venta-casa-padron-unico-union-3-dorm-1-baño-azotea-inmuebles-20858780,-34.88294,-56.13398,3 Dormitorios,Union,Unión,23.0
2 Dormitorios en Union,110000,91.0,https://www.gallito.com.uy/a-metros-de-comercio-ideal-renta-inmuebles-20033498,-34.88525,-56.13199,2 Dormitorios,Union,Unión,23.0
2 Dormitorios en Brazo Oriental,115000,71.0,https://www.gallito.com.uy/casa-de-altos-proxima-a-l-a-de-herrera-y-san-martin-inmuebles-20644309,,,2 Dormitorios,Brazo Oriental,Brazo Oriental,51.0
2 Dormitorios en Prado,115000,55.0,https://www.gallito.com.uy/casablanca-ph-en-planta-alta-al-frente-inmuebles-20206127,-34.86534,-56.21139,2 Dormitorios,Prado,"Prado, Nueva Savona",39.0
