desc,valor,metraje,url
4 Dormitorios en Cordon,U$S 280.000,210,https://www.gallito.com.uy/casa-parque-rodo-4-dorm-ofic-4-baños-garaje-inmuebles-20384650
Más de 4 dormitorios en Tres Cruces,U$S 280.000,360,https://www.gallito.com.uy/casa-de-4-dormitorios-con-patio-garaje-y-barbacoa-inmuebles-21465754
4 Dormitorios en Atahualpa,U$S 280.000,205,https://www.gallito.com.uy/muy-linda-y-excelente-ubicacion-chalet-de-tejas-2-plantas-inmuebles-15587908
3 Dormitorios en Malvin,U$S 285.000,140,https://www.gallito.com.uy/hermosa-pronta-para-ocupar-en-excelente-ubicacion-nueva-inmuebles-21281378
3 Dormitorios en Pocitos,U$S 285.000,100,https://www.gallito.com.uy/casa-pocitos-3-dormitorios-y-garaje-inmuebles-19870416
2 Dormitorios en La Blanqueada,U$S 289.000,107,https://www.gallito.com.uy/casa-sobre-av-reciclada-a-nuevo-gge-jardin-y-barbacoa-inmuebles-21284778
3 Dormitorios en Malvin,U$S 290.000,197,https://www.gallito.com.uy/casa-en-venta-malvin-inmuebles-21597243
3 Dormitorios en Prado,U$S 290.000,160,https://www.gallito.com.uy/lo-que-no-hay-1-sola-planta-con-todas-las-comodidades-inmuebles-21492079
2 Dormitorios en La Blanqueada,U$S 290.000,194,https://www.gallito.com.uy/a-la-venta-oferta-casa-barbacoa-apto-la-blanqueada-inmuebles-15924261
4 Dormitorios en Pocitos,U$S 290.000,118,https://www.gallito.com.uy/casa-en-pocitos-4-dormitorios-2-baños-con-garaje-y-parri-inmuebles-21451821
3 Dormitorios en Malvin,U$S 290.000,127,https://www.gallito.com.uy/duplex-3-dorm-3-baños-garaje-patio-parrillero-inmuebles-20207856
Más de 4 dormitorios en Nuevo Paris,U$S 290.000,350,https://www.gallito.com.uy/venta-2-casas-nuevo-paris-1400mts2-6-dorm-2-pisc-inmuebles-21868639
3 Dormitorios en Cordon,U$S 293.000,207,https://www.gallito.com.uy/tres-cruces-a-pasos-padron-unico-vivienda-o-construir-inmuebles-18079113
3 Dormitorios en Parque Rodo,U$S 294.000,123,https://www.gallito.com.uy/espectacular-ph-en-parque-rodo3-dormitoriosparrillero-inmuebles-22054877
3 Dormitorios en Reducto,U$S 295.000,156,https://www.gallito.com.uy/hermoso-reciclaje-a-pasos-del-prado-muy-buena-construccion-inmuebles-21284601
Más de 4 dormitorios en Prado,U$S 295.000,190,https://www.gallito.com.uy/sobre-islas-canarias-esquina-castro-excelente-metraje-inmuebles-20388931
3 Dormitorios en Sayago,U$S 295.000,168,https://www.gallito.com.uy/casa-unica-e-inigualable-en-calidad-constructiva-094082543-inmuebles-19833075
Más de 4 dormitorios en Atahualpa,U$S 295.000,160,https://www.gallito.com.uy/excelente-padron-unico-en-el-corazon-de-atahualpa-inmuebles-21274641
3 Dormitorios en Cerrito,U$S 297.000,,https://www.gallito.com.uy/muy-buena-casa-con-predio-inmuebles-21863282
3 Dormitorios en Perez Castellanos,U$S 297.000,174,https://www.gallito.com.uy/muy-buena-casa-en-gran-predio-inmuebles-21797823
3 Dormitorios en Prado,U$S 298.000,161,https://www.gallito.com.uy/venta-casa-3-dormotiros-3-baños-fondo-verde-lugar-para-auto-inmuebles-21780714
3 Dormitorios en Palermo,U$S 298.000,154,https://www.gallito.com.uy/dueño-vende-hermosa-casa-en-dos-plantas-en-palermo-inmuebles-21902825
3 Dormitorios en Brazo Oriental,U$S 298.000,200,https://www.gallito.com.uy/berlasi-muy-buena-casa-ideal-2-familias-prox-l-a-de-herrera-inmuebles-22096226
3 Dormitorios en Jacinto Vera,U$S 299.000,114,https://www.gallito.com.uy/casa-de-3-dormitorios-2-baños-garage-barbacoa-nuevocentro-inmuebles-20964621
4 Dormitorios en Prado,U$S 299.000,93,https://www.gallito.com.uy/venta-casa-prado-4-dormitorios-san-felipe-y-santiago-inmuebles-15798206
Más de 4 dormitorios en Prado,U$S 299.900,350,https://www.gallito.com.uy/hermosa-casa-frente-al-parque-inmuebles-21926102
4 Dormitorios en Prado,U$S 300.000,201,https://www.gallito.com.uy/venta-casa-3-4-dormitorios-2-baños-garage-fondo-verde-inmuebles-21973071
Más de 4 dormitorios en Prado,U$S 300.000,352,https://www.gallito.com.uy/casa-en-el-prado-sobre-19-de-abril-clinica-empresa-inmuebles-19971919
3 Dormitorios en Pocitos,U$S 300.000,137,https://www.gallito.com.uy/casatroja-venta-casa-pocitos-3-dormitorios-inmuebles-22037749
Más de 4 dormitorios en Prado,U$S 300.000,352,https://www.gallito.com.uy/casablanca-pu-a-pasos-de-agraciada-inmuebles-18917694
3 Dormitorios en Puerto Buceo,U$S 305.000,120,https://www.gallito.com.uy/casa-puerto-buceo-inmuebles-21759430
3 Dormitorios en La Blanqueada,U$S 307.000,220,https://www.gallito.com.uy/casa-3-dormitorios-garage-fondo-parrillero-la-blanqueada-inmuebles-22210657
3 Dormitorios en Jacinto Vera,U$S 310.000,120,https://www.gallito.com.uy/venta-casa-jacinto-vera-inmuebles-20835764
3 Dormitorios en Prado,U$S 310.000,140,https://www.gallito.com.uy/casa-1-planta-3-dormit-2bañ-cochx3-barbacoa-fondo-p-unico-inmuebles-21842942
Más de 4 dormitorios en Prado,U$S 310.000,195,https://www.gallito.com.uy/casablanca-hermoso-reciclaje-ideal-familia-numerosa-inmuebles-20813089
4 Dormitorios en Pocitos,U$S 310.000,156,https://www.gallito.com.uy/venta-casa-padron-unico-4-dorm-2-baños-pocitos-inmuebles-21684466
3 Dormitorios en Otro,U$S 45.000,61,https://www.gallito.com.uy/venta-de-apartamento-con-3-dormitorios-en-piedras-blancas-inmuebles-22225314
1 Ambiente en Peñarol,U$S 45.000,,https://www.gallito.com.uy/vendo-terreno-con-mejoras-inmuebles-22249171
1 Dormitorio en Lezica,U$S 45.000,,https://www.gallito.com.uy/tipo-casita-al-fdo-camplio-terreno-inmuebles-18734888
1 Dormitorio en Jacinto Vera,U$S 45.000,40,https://www.gallito.com.uy/casa-1-dorm-1-baño-entrepiso-inmuebles-22023795
4 Dormitorios en Villa Española,U$S 45.000,97,https://www.gallito.com.uy/ideal-inversion-con-renta-proximo-antel-arena-inmuebles-20427112
2 Dormitorios en Punta Rieles,U$S 45.000,600,https://www.gallito.com.uy/casas-en-punta-rieles-en-el-mismo-padron-cod-306-inmuebles-21993407
2 Dormitorios en Colon,U$S 45.000,70,https://www.gallito.com.uy/casa-en-venta-a-media-cuadra-de-av-garzon-inmuebles-20418602
1 Dormitorio en Cerrito,U$S 45.000,41,https://www.gallito.com.uy/casa-sobre-estanislao-vega-prox-av-burgues-inmuebles-16860179
2 Dormitorios en Prado,U$S 46.500,45,https://www.gallito.com.uy/casas-venta-montevideo-prado-inmuebles-22277460
1 Dormitorio en Capurro,U$S 47.642,38,https://www.gallito.com.uy/venta-casa-tipo-duplex-de-1-dormitorio-en-capurro-inmuebles-21178019
2 Dormitorios en Cerrito,U$S 48.000,65,https://www.gallito.com.uy/al-frente-con-cochera-1-o-2-autos-inmuebles-22284057
2 Dormitorios en Cno. Maldonado,U$S 48.000,,https://www.gallito.com.uy/calle-orion-ruta-8-km-21-inmuebles-21862280
4 Dormitorios en Bella Vista,U$S 48.000,160,https://www.gallito.com.uy/dos-propiedades-al-precio-de-una-super-oportunidadbel-inmuebles-22211277
1 Dormitorio en Buceo,U$S 48.000,42,https://www.gallito.com.uy/para-inversion-o-vivienda-venta-1-dormitorio-jardin-y-inmuebles-21261995
2 Dormitorios en Maroñas,U$S 48.000,54,https://www.gallito.com.uy/casa-2-dorm-en-calle-areguati-y-puntas-de-soto-inmuebles-15916421
2 Dormitorios en Maroñas,U$S 48.000,50,https://www.gallito.com.uy/vendo-apartamento-de-2-dormitorios-y-patio-maroñas-inmuebles-21999017
2 Dormitorios en Aires Puros,U$S 48.000,,https://www.gallito.com.uy/vendo-casa-a-terminar-o-terminada-inmuebles-21506902
