desc,valor,metraje,url,lat,lng,dormitorios,barrio,barrio_ine,cod_barrio_ine,valor_metro
2 Dormitorios en La Teja,62000,70.0,https://www.gallito.com.uy/casa-a-reciclar-en-excelente-punto-a-1-de-la-avenida-inmuebles-20812967,-34.85935,-56.2293,2 Dormitorios,La Teja,La Teja,38.0,885.7142857142857
2 Dormitorios en Piedras Blancas,62000,50.0,https://www.gallito.com.uy/venta-casa-2-dormitorios-galpon-piedras-blancas-inmuebles-21902606,-34.82468,-56.14503,2 Dormitorios,Piedras Blancas,Piedras Blancas,31.0,1240.0
1 Dormitorio en La Teja,65000,94.0,https://www.gallito.com.uy/casa-y-2-apartamentos-inmuebles-20858940,-34.87456,-56.23925,1 Dormitorio,La Teja,La Teja,38.0,691.4893617021277
2 Dormitorios en Belvedere,65000,60.0,https://www.gallito.com.uy/ideal-para-invertir-casa-en-belvedere-2dorm-parrillero-patio-inmuebles-22265055,-34.8532,-56.23042,2 Dormitorios,Belvedere,Belvedere,54.0,1083.3333333333333
2 Dormitorios en La Teja,65000,158.0,https://www.gallito.com.uy/rebajado-oportunidad-4-casas-en-un-padron-inmuebles-21863494,-34.85433,-56.24368,2 Dormitorios,La Teja,La Teja,38.0,411.39240506329116
3 Dormitorios en Lezica,65000,63.0,https://www.gallito.com.uy/dueños-venden-duplex-en-complejo-12-de-octubre-inmuebles-21904516,-34.90721,-56.19027,3 Dormitorios,Lezica,"Lezica, Melilla",60.0,1031.7460317460318
3 Dormitorios en Paso De La Arena,65000,133.0,https://www.gallito.com.uy/casa-con-cochera-y-fondo-inmuebles-18086957,-34.81948,-56.28579,3 Dormitorios,Paso De La Arena,Paso de la Arena,57.0,488.7218045112782
2 Dormitorios en La Teja,65000,158.0,https://www.gallito.com.uy/rebajado-oportunidad-4-casas-en-un-padron-inmuebles-21964179,-34.85433,-56.24368,2 Dormitorios,La Teja,La Teja,38.0,411.39240506329116
2 Dormitorios en La Teja,65000,40.0,https://www.gallito.com.uy/casita-economica-en-la-teja-excelente-ubicacion-inmuebles-20681210,-34.86112,-56.22828,2 Dormitorios,La Teja,La Teja,38.0,1625.0
1 Dormitorio en Sayago,66000,35.0,https://www.gallito.com.uy/casablanca-ph-al-fondo-independiente-inmuebles-21211561,,,1 Dormitorio,Sayago,Sayago,52.0,1885.7142857142858
3 Dormitorios en Las Acacias,67000,70.0,https://www.gallito.com.uy/bajo-de-precio-padron-unico-inmuebles-17516457,-34.8413,-56.15242,3 Dormitorios,Las Acacias,Las Acacias,28.0,957.1428571428571
2 Dormitorios en Cerrito,68000,51.0,https://www.gallito.com.uy/venta-de-casa-cerrito-2-dormitorios-garaje-y-jardin-inmuebles-20887863,-34.85974,-56.17275,2 Dormitorios,Cerrito,Cerrito,27.0,1333.3333333333333
1 Dormitorio en La Comercial,68000,60.0,https://www.gallito.com.uy/casa-duplex-1-dormitorio-en-venta-renta-la-comercial-inmuebles-18717055,,,1 Dormitorio,La Comercial,La Comercial,49.0,1133.3333333333333
3 Dormitorios en Union,68000,110.0,https://www.gallito.com.uy/oportunidad-casa-financiada-3-dorm-en-venta-en-la-union-inmuebles-21944844,-34.863,-56.13259,3 Dormitorios,Union,Unión,23.0,618.1818181818181
2 Dormitorios en Cerro,68000,81.0,https://www.gallito.com.uy/linda-casa-en-chile-esq-viacaba-inmuebles-21909547,-34.88779,-56.24961,2 Dormitorios,Cerro,Cerro,35.0,839.5061728395061
2 Dormitorios en Cerrito,70000,55.0,https://www.gallito.com.uy/venta-casa-2-dorm-patio-cochera-inmuebles-22120669,,,2 Dormitorios,Cerrito,Cerrito,27.0,1272.7272727272727
2 Dormitorios en Paso De La Arena,70000,70.0,https://www.gallito.com.uy/tomkinson-500-metros-de-terreno-con-casa-de-2-dormitorios-inmuebles-20583980,-34.85012,-56.28829,2 Dormitorios,Paso De La Arena,Paso de la Arena,57.0,1000.0
3 Dormitorios en Colon,73000,114.0,https://www.gallito.com.uy/casa-con-cochera-fondo-y-barbacoa-acepta-banco-inmuebles-21551933,-34.81755,-56.22433,3 Dormitorios,Colon,"Colón Sureste, Abayubá",58.0,640.3508771929825
3 Dormitorios en Maroñas,74000,100.0,https://www.gallito.com.uy/excelente-parque-guarani-garaje-x2-jardin-fondo-parrillero-inmuebles-21928136,,,3 Dormitorios,Maroñas,"Maroñas, Parque Guaraní",17.0,740.0
3 Dormitorios en Paso De La Arena,75000,79.0,https://www.gallito.com.uy/casa-con-jardin-y-entrada-para-varios-autos-inmuebles-20423819,-34.83583,-56.26887,3 Dormitorios,Paso De La Arena,Paso de la Arena,57.0,949.367088607595
2 Dormitorios en Ituzaingo,75000,50.0,https://www.gallito.com.uy/opotunidad-para-inversores-o-vivienda-propia-para-familia-inmuebles-22044686,-34.85133,-56.1391,2 Dormitorios,Ituzaingo,Ituzaingó,22.0,1500.0
3 Dormitorios en Paso Molino,75000,86.0,https://www.gallito.com.uy/vende-casa-3-dormitorios-paso-molino-inmuebles-20924034,-34.86092,-56.21873,3 Dormitorios,Paso Molino,,,872.0930232558139
3 Dormitorios en Colon,76000,65.0,https://www.gallito.com.uy/venta-casa-3-dorm-con-patio-y-parrillero-en-colon-inmuebles-22304276,-34.80631,-56.2152,3 Dormitorios,Colon,"Colón Sureste, Abayubá",58.0,1169.2307692307693
2 Dormitorios en La Teja,77000,72.0,https://www.gallito.com.uy/casa-padron-unico-dos-dormitorios-reciclada-inmuebles-21447162,-34.86367,-56.21858,2 Dormitorios,La Teja,La Teja,38.0,1069.4444444444443
1 Dormitorio en Reducto,77900,38.0,https://www.gallito.com.uy/venta-casa-ph-al-frente-barrio-reducto-inmuebles-21880629,-34.88225,-56.1836,1 Dormitorio,Reducto,Reducto,42.0,2050.0
2 Dormitorios en Union,78000,80.0,https://www.gallito.com.uy/a-metros-de-8-de-octubre-fondo-con-parrillero-inmuebles-22287761,,,2 Dormitorios,Union,Unión,23.0,975.0
2 Dormitorios en Brazo Oriental,79000,56.0,https://www.gallito.com.uy/buena-oportunidad-en-muy-buena-ubicacion-inmuebles-21751987,-34.86896,-56.18046,2 Dormitorios,Brazo Oriental,Brazo Oriental,51.0,1410.7142857142858
3 Dormitorios en Belvedere,79000,85.0,https://www.gallito.com.uy/casa-esquina-inmuebles-21077832,-34.85405,-56.23343,3 Dormitorios,Belvedere,Belvedere,54.0,929.4117647058823
4 Dormitorios en J. Hipodromo,79000,146.0,https://www.gallito.com.uy/dos-casas-en-1-padron-a-12-cuadra-de-avda-j-belloni-inmuebles-21679783,-34.83989,-56.13662,4 Dormitorios,J. Hipodromo,Jardines del Hipódromo,21.0,541.0958904109589
3 Dormitorios en La Teja,79000,70.0,https://www.gallito.com.uy/casa-3-dormitorios-jardin-y-fondo-independiente-inmuebles-22090233,,,3 Dormitorios,La Teja,La Teja,38.0,1128.5714285714287
2 Dormitorios en Piedras Blancas,79000,85.0,https://www.gallito.com.uy/casa-venta-2-dorm-con-construc-ocpcion-mas-dorm-regularizada-inmuebles-21780802,-34.82246,-56.13784,2 Dormitorios,Piedras Blancas,Piedras Blancas,31.0,929.4117647058823
2 Dormitorios en Jacinto Vera,79000,101.0,https://www.gallito.com.uy/venta-de-casa-o-local-con-93-m2-al-frente-para-reciclar-inmuebles-20640241,-34.87859,-56.17031,2 Dormitorios,Jacinto Vera,Jacinto Vera,44.0,782.1782178217821
2 Dormitorios en Ituzaingo,80000,80.0,https://www.gallito.com.uy/solida-y-amplia-edificacion-a-reciclar-inmuebles-22196033,-34.90721,-56.19027,2 Dormitorios,Ituzaingo,Ituzaingó,22.0,1000.0
4 Dormitorios en La Teja,82000,75.0,https://www.gallito.com.uy/imperdible-padron-unico-a-mts-cmramirez-inmuebles-21313611,-34.86532,-56.2373,4 Dormitorios,La Teja,La Teja,38.0,1093.3333333333333
4 Dormitorios en Piedras Blancas,84000,124.0,https://www.gallito.com.uy/sp-curupu-y-tnte-galeano-2-casas-mismo-padron-todo-impecable-inmuebles-21335543,-34.82693,-56.14924,4 Dormitorios,Piedras Blancas,Piedras Blancas,31.0,677.4193548387096
2 Dormitorios en Cerro,85000,80.0,https://www.gallito.com.uy/casa-con-frente-fondo-y-cochera-a-reparar-inmuebles-22257890,-34.87722,-56.25958,2 Dormitorios,Cerro,Cerro,35.0,1062.5
2 Dormitorios en Brazo Oriental,85000,70.0,https://www.gallito.com.uy/imperdible-frente-planta-alta-con-balcon-y-azotea-inmuebles-21765186,-34.86303,-56.17906,2 Dormitorios,Brazo Oriental,Brazo Oriental,51.0,1214.2857142857142
1 Dormitorio en Jacinto Vera,85000,47.0,https://www.gallito.com.uy/hermosa-casa-cerca-de-nuevo-centro-shopping-inmuebles-21779772,-34.87303,-56.17962,1 Dormitorio,Jacinto Vera,Jacinto Vera,44.0,1808.5106382978724
3 Dormitorios en Casavalle,86000,108.0,https://www.gallito.com.uy/oportunidad-3-dorm-para-inversion-inmuebles-21821060,-34.81311,-56.17469,3 Dormitorios,Casavalle,Casavalle,30.0,796.2962962962963
3 Dormitorios en Ituzaingo,87000,88.0,https://www.gallito.com.uy/padron-esquina-muy-proximo-al-hipodromo-inmuebles-22184340,-34.84742,-56.14499,3 Dormitorios,Ituzaingo,Ituzaingó,22.0,988.6363636363636
2 Dormitorios en Peñarol,88000,70.0,https://www.gallito.com.uy/oportunidad-excelente-construccion-si-banco-094082543-inmuebles-22025088,,,2 Dormitorios,Peñarol,"Peñarol, Lavalleja",34.0,1257.142857142857
3 Dormitorios en Paso De La Arena,89000,115.0,https://www.gallito.com.uy/excelente-oportunidad-de-negocio-dos-casas-con-buen-terreno-inmuebles-22165698,-34.8496,-56.27855,3 Dormitorios,Paso De La Arena,Paso de la Arena,57.0,773.9130434782609
2 Dormitorios en Cerro,89500,81.0,https://www.gallito.com.uy/oportunidad-venta-de-casa-3-dormitorios-1-baño-a-2-cu-inmuebles-21821418,-34.87975,-56.26455,2 Dormitorios,Cerro,Cerro,35.0,1104.9382716049383
1 Dormitorio en La Blanqueada,90000,41.0,https://www.gallito.com.uy/se-vende-apto-casa-1-dormitorio-patio-y-cochera-inmuebles-21077528,-34.88141,-56.16054,1 Dormitorio,La Blanqueada,La Blanqueada,47.0,2195.121951219512
