desc,valor,metraje,url,lat,lng,dormitorios,barrio,barrio_ine,cod_barrio_ine
3 Dormitorios en Las Acacias,67000,70.0,https://www.gallito.com.uy/bajo-de-precio-padron-unico-inmuebles-17516457,-34.8413,-56.15242,3 Dormitorios,Las Acacias,Las Acacias,28.0
2 Dormitorios en Cerrito,68000,51.0,https://www.gallito.com.uy/venta-de-casa-cerrito-2-dormitorios-garaje-y-jardin-inmuebles-20887863,-34.85974,-56.17275,2 Dormitorios,Cerrito,Cerrito,27.0
3 Dormitorios en Union,68000,110.0,https://www.gallito.com.uy/oportunidad-casa-financiada-3-dorm-en-venta-en-la-union-inmuebles-21944844,-34.863,-56.13259,3 Dormitorios,Union,Unión,23.0
2 Dormitorios en Cerro,68000,81.0,https://www.gallito.com.uy/linda-casa-en-chile-esq-viacaba-inmuebles-21909547,-34.88779,-56.24961,2 Dormitorios,Cerro,Cerro,35.0
1 Dormitorio en La Comercial,68000,60.0,https://www.gallito.com.uy/casa-duplex-1-dormitorio-en-venta-renta-la-comercial-inmuebles-18717055,,,1 Dormitorio,La Comercial,La Comercial,49.0
2 Dormitorios en Paso De La Arena,70000,70.0,https://www.gallito.com.uy/tomkinson-500-metros-de-terreno-con-casa-de-2-dormitorios-inmuebles-20583980,-34.85012,-56.28829,2 Dormitorios,Paso De La Arena,Paso de la Arena,57.0
2 Dormitorios en Cerrito,70000,55.0,https://www.gallito.com.uy/venta-casa-2-dorm-patio-cochera-inmuebles-22120669,,,2 Dormitorios,Cerrito,Cerrito,27.0
3 Dormitorios en Colon,73000,114.0,https://www.gallito.com.uy/casa-con-cochera-fondo-y-barbacoa-acepta-banco-inmuebles-21551933,-34.81755,-56.22433,3 Dormitorios,Colon,"Colón Sureste, Abayubá",58.0
Más de 4 dormitorios en Goes,280000,360.0,https://www.gallito.com.uy/casa-de-4-dormitorios-con-patio-garaje-y-barbacoa-inmuebles-20173769,-34.87697,-56.16665,Más de 4 dormitorios,Goes,,
3 Dormitorios en Cordon,280000,182.0,https://www.gallito.com.uy/venta-casa-cordon-inmuebles-22185083,-34.90635,-56.16577,3 Dormitorios,Cordon,Cordón,4.0
3 Dormitorios en Malvin,280000,110.0,https://www.gallito.com.uy/exclusiva-padron-unico-a-metros-de-rambla-inmuebles-22283966,,,3 Dormitorios,Malvin,Malvín,11.0
2 Dormitorios en Carrasco,280000,133.0,https://www.gallito.com.uy/en-carrasco-excelente-y-amplia-casa-moderna-impecable-inmuebles-21993919,-34.87535,-56.09148,2 Dormitorios,Carrasco,Carrasco,14.0
4 Dormitorios en Cordon,280000,210.0,https://www.gallito.com.uy/casa-parque-rodo-4-dorm-ofic-4-baños-garaje-inmuebles-20384650,-34.90493,-56.16522,4 Dormitorios,Cordon,Cordón,4.0
Más de 4 dormitorios en Tres Cruces,280000,360.0,https://www.gallito.com.uy/casa-de-4-dormitorios-con-patio-garaje-y-barbacoa-inmuebles-21465754,-34.87697,-56.16665,Más de 4 dormitorios,Tres Cruces,Tres Cruces,50.0
4 Dormitorios en Atahualpa,280000,205.0,https://www.gallito.com.uy/muy-linda-y-excelente-ubicacion-chalet-de-tejas-2-plantas-inmuebles-15587908,-34.86886,-56.1849,4 Dormitorios,Atahualpa,Atahualpa,43.0
3 Dormitorios en Malvin,285000,140.0,https://www.gallito.com.uy/hermosa-pronta-para-ocupar-en-excelente-ubicacion-nueva-inmuebles-21281378,,,3 Dormitorios,Malvin,Malvín,11.0
3 Dormitorios en Pocitos,285000,100.0,https://www.gallito.com.uy/casa-pocitos-3-dormitorios-y-garaje-inmuebles-19870416,-34.90712,-56.14685,3 Dormitorios,Pocitos,Pocitos,8.0
2 Dormitorios en La Blanqueada,289000,107.0,https://www.gallito.com.uy/casa-sobre-av-reciclada-a-nuevo-gge-jardin-y-barbacoa-inmuebles-21284778,,,2 Dormitorios,La Blanqueada,La Blanqueada,47.0
3 Dormitorios en Malvin,290000,197.0,https://www.gallito.com.uy/casa-en-venta-malvin-inmuebles-21597243,-34.88895,-56.11265,3 Dormitorios,Malvin,Malvín,11.0
3 Dormitorios en Prado,290000,160.0,https://www.gallito.com.uy/lo-que-no-hay-1-sola-planta-con-todas-las-comodidades-inmuebles-21492079,-34.86388,-56.19383,3 Dormitorios,Prado,"Prado, Nueva Savona",39.0
2 Dormitorios en La Blanqueada,290000,194.0,https://www.gallito.com.uy/a-la-venta-oferta-casa-barbacoa-apto-la-blanqueada-inmuebles-15924261,-34.88243,-56.15654,2 Dormitorios,La Blanqueada,La Blanqueada,47.0
4 Dormitorios en Pocitos,290000,118.0,https://www.gallito.com.uy/casa-en-pocitos-4-dormitorios-2-baños-con-garaje-y-parri-inmuebles-21451821,-34.90368,-56.14498,4 Dormitorios,Pocitos,Pocitos,8.0
3 Dormitorios en Malvin,290000,127.0,https://www.gallito.com.uy/duplex-3-dorm-3-baños-garaje-patio-parrillero-inmuebles-20207856,,,3 Dormitorios,Malvin,Malvín,11.0
Más de 4 dormitorios en Nuevo Paris,290000,350.0,https://www.gallito.com.uy/venta-2-casas-nuevo-paris-1400mts2-6-dorm-2-pisc-inmuebles-21868639,-34.84403,-56.22545,Más de 4 dormitorios,Nuevo Paris,"Mercado Modelo, Bolívar",25.0
3 Dormitorios en Cordon,293000,207.0,https://www.gallito.com.uy/tres-cruces-a-pasos-padron-unico-vivienda-o-construir-inmuebles-18079113,,,3 Dormitorios,Cordon,Cordón,4.0
3 Dormitorios en Parque Rodo,294000,123.0,https://www.gallito.com.uy/espectacular-ph-en-parque-rodo3-dormitoriosparrillero-inmuebles-22054877,-34.91277,-56.16757,3 Dormitorios,Parque Rodo,Parque Rodó,6.0
3 Dormitorios en Reducto,295000,156.0,https://www.gallito.com.uy/hermoso-reciclaje-a-pasos-del-prado-muy-buena-construccion-inmuebles-21284601,,,3 Dormitorios,Reducto,Reducto,42.0
Más de 4 dormitorios en Prado,295000,190.0,https://www.gallito.com.uy/sobre-islas-canarias-esquina-castro-excelente-metraje-inmuebles-20388931,-34.85201,-56.20555,Más de 4 dormitorios,Prado,"Prado, Nueva Savona",39.0
3 Dormitorios en Sayago,295000,168.0,https://www.gallito.com.uy/casa-unica-e-inigualable-en-calidad-constructiva-094082543-inmuebles-19833075,,,3 Dormitorios,Sayago,Sayago,52.0
Más de 4 dormitorios en Atahualpa,295000,160.0,https://www.gallito.com.uy/excelente-padron-unico-en-el-corazon-de-atahualpa-inmuebles-21274641,-34.86604,-56.18916,Más de 4 dormitorios,Atahualpa,Atahualpa,43.0
3 Dormitorios en Cerrito,297000,,https://www.gallito.com.uy/muy-buena-casa-con-predio-inmuebles-21863282,,,3 Dormitorios,Cerrito,Cerrito,27.0
3 Dormitorios en Perez Castellanos,297000,174.0,https://www.gallito.com.uy/muy-buena-casa-en-gran-predio-inmuebles-21797823,,,3 Dormitorios,Perez Castellanos,"Castro, P. Castellanos",26.0
3 Dormitorios en Prado,298000,161.0,https://www.gallito.com.uy/venta-casa-3-dormotiros-3-baños-fondo-verde-lugar-para-auto-inmuebles-21780714,-34.86466,-56.20572,3 Dormitorios,Prado,"Prado, Nueva Savona",39.0
3 Dormitorios en Palermo,298000,154.0,https://www.gallito.com.uy/dueño-vende-hermosa-casa-en-dos-plantas-en-palermo-inmuebles-21902825,-34.91217,-56.18323,3 Dormitorios,Palermo,Palermo,5.0
3 Dormitorios en Brazo Oriental,298000,200.0,https://www.gallito.com.uy/berlasi-muy-buena-casa-ideal-2-familias-prox-l-a-de-herrera-inmuebles-22096226,,,3 Dormitorios,Brazo Oriental,Brazo Oriental,51.0
3 Dormitorios en Jacinto Vera,299000,114.0,https://www.gallito.com.uy/casa-de-3-dormitorios-2-baños-garage-barbacoa-nuevocentro-inmuebles-20964621,,,3 Dormitorios,Jacinto Vera,Jacinto Vera,44.0
4 Dormitorios en Prado,299000,93.0,https://www.gallito.com.uy/venta-casa-prado-4-dormitorios-san-felipe-y-santiago-inmuebles-15798206,-34.86409,-56.20091,4 Dormitorios,Prado,"Prado, Nueva Savona",39.0
Más de 4 dormitorios en Prado,299900,350.0,https://www.gallito.com.uy/hermosa-casa-frente-al-parque-inmuebles-21926102,-34.90721,-56.19027,Más de 4 dormitorios,Prado,"Prado, Nueva Savona",39.0
4 Dormitorios en Prado,300000,201.0,https://www.gallito.com.uy/venta-casa-3-4-dormitorios-2-baños-garage-fondo-verde-inmuebles-21973071,-34.85306,-56.2037,4 Dormitorios,Prado,"Prado, Nueva Savona",39.0
Más de 4 dormitorios en Prado,300000,352.0,https://www.gallito.com.uy/casa-en-el-prado-sobre-19-de-abril-clinica-empresa-inmuebles-19971919,-34.86581,-56.19903,Más de 4 dormitorios,Prado,"Prado, Nueva Savona",39.0
3 Dormitorios en Pocitos,300000,137.0,https://www.gallito.com.uy/casatroja-venta-casa-pocitos-3-dormitorios-inmuebles-22037749,,,3 Dormitorios,Pocitos,Pocitos,8.0
Más de 4 dormitorios en Prado,300000,352.0,https://www.gallito.com.uy/casablanca-pu-a-pasos-de-agraciada-inmuebles-18917694,-34.86891,-56.20469,Más de 4 dormitorios,Prado,"Prado, Nueva Savona",39.0
