desc,valor,metraje,url
2 Dormitorios en Colon,U$S 110.000,80,https://www.gallito.com.uy/casa-con-jardin-y-fondo-inmuebles-20579131
2 Dormitorios en Brazo Oriental,U$S 110.000,100,https://www.gallito.com.uy/venta-casa-brazo-oriental-dos-dormitorios-con-acceso-azotea-inmuebles-15904103
3 Dormitorios en Brazo Oriental,U$S 110.000,102,https://www.gallito.com.uy/casablanca-a-pasos-de-propios-al-sur-inmuebles-19723157
3 Dormitorios en Aguada,U$S 110.000,140,https://www.gallito.com.uy/casablanca-a-pasos-de-avenidas-ph-al-frente-inmuebles-20441679
3 Dormitorios en Prado,U$S 110.000,90,https://www.gallito.com.uy/venta-casa-de-3-dormitorios-prado-inmuebles-20911423
3 Dormitorios en Union,U$S 110.000,104,https://www.gallito.com.uy/venta-casa-padron-unico-union-3-dorm-1-baño-azotea-inmuebles-20858780
2 Dormitorios en Union,U$S 110.000,91,https://www.gallito.com.uy/a-metros-de-comercio-ideal-renta-inmuebles-20033498
2 Dormitorios en Brazo Oriental,U$S 115.000,71,https://www.gallito.com.uy/casa-de-altos-proxima-a-l-a-de-herrera-y-san-martin-inmuebles-20644309
2 Dormitorios en Prado,U$S 115.000,55,https://www.gallito.com.uy/casablanca-ph-en-planta-alta-al-frente-inmuebles-20206127
2 Dormitorios en Punta Gorda,U$S 115.000,68,https://www.gallito.com.uy/casa-de-2-dormitorios-punta-gorda-cooperativa-muy-linda-inmuebles-20154055
2 Dormitorios en La Comercial,U$S 115.000,62,https://www.gallito.com.uy/casa-venta-la-comercial-montevideo-imasuy-l-inmuebles-20568467
3 Dormitorios en Perez Castellanos,U$S 116.000,111,https://www.gallito.com.uy/vende-casa-3-dormitorios-patio-con-parrillero-y-garaje-inmuebles-19192909
3 Dormitorios en Perez Castellanos,U$S 118.000,,https://www.gallito.com.uy/amplia-y-comoda-casa-de-3-dormitorios-proxima-al-antel-arena-inmuebles-18696296
2 Dormitorios en Peñarol,U$S 120.000,,https://www.gallito.com.uy/casa-con-local-comercial-inmuebles-20719786
3 Dormitorios en Reducto,U$S 120.000,221,https://www.gallito.com.uy/casablanca-ideal-inversores-padron-unico-de-221m2-inmuebles-21050899
2 Dormitorios en La Blanqueada,U$S 120.000,67,https://www.gallito.com.uy/casa-pa-prop-horizontal-impec-2-dorm-baño-patio-uss120000-inmuebles-19156128
3 Dormitorios en Peñarol,U$S 120.000,500,https://www.gallito.com.uy/2-casas-con-garage-2-autos-y-gran-fondo-inmuebles-18553317
2 Dormitorios en Malvin,U$S 125.000,52,https://www.gallito.com.uy/apartamento-2-dormitorios-en-malvin-ph-independiente-inmuebles-20745726
2 Dormitorios en Punta Gorda,U$S 125.000,52,https://www.gallito.com.uy/apartamento-2-dormitorios-en-malvin-ph-independiente-inmuebles-19908605
2 Dormitorios en Union,U$S 125.000,53,https://www.gallito.com.uy/se-vende-casa-pu-2-dorms-2-baños-esc-en-la-union-inmuebles-20894459
2 Dormitorios en Buceo,U$S 125.000,52,https://www.gallito.com.uy/apartamento-2-dormitorios-en-malvin-ph-independiente-inmuebles-19907958
2 Dormitorios en La Blanqueada,U$S 128.000,,https://www.gallito.com.uy/excelente-casa-toda-al-frente-sobre-boulevar-artigas-inmuebles-21015036
2 Dormitorios en Brazo Oriental,U$S 129.000,48,https://www.gallito.com.uy/casablanca-sobre-san-martin-inmuebles-20471636
2 Dormitorios en Buceo,U$S 129.000,,https://www.gallito.com.uy/vende-impecable-casa-de-2-plantas-prox-a-la-playa-inmuebles-20905582
3 Dormitorios en Union,U$S 129.000,111,https://www.gallito.com.uy/venta-casa-3-dormitorios-union-con-barbacoa-y-estufa-a-leña-inmuebles-20906097
2 Dormitorios en Sayago,U$S 129.000,86,https://www.gallito.com.uy/excelente-ubicacion-sobre-avenida-sayago-inmuebles-21101262
3 Dormitorios en Paso Molino,U$S 129.000,85,https://www.gallito.com.uy/venta-casa-paso-molino-3dor-1baño-gaje-parrillero-inmuebles-20436374
4 Dormitorios en Union,U$S 129.000,,https://www.gallito.com.uy/venta-casa-en-la-uniã³n-4-dormitorios-garage-y-fondo-inmuebles-21122948
2 Dormitorios en Aguada,U$S 129.500,85,https://www.gallito.com.uy/venta-casa-de-2-dormitorios-aguada-a-estrenar-inmuebles-20616972
2 Dormitorios en Brazo Oriental,U$S 130.000,,https://www.gallito.com.uy/venta-2-dormitorios-a-estrenar-brazo-oriental-inmuebles-20735851
3 Dormitorios en Prado Norte,U$S 130.000,109,https://www.gallito.com.uy/casablanca-a-pasos-de-castro-ph-al-frente-inmuebles-13574862
3 Dormitorios en La Blanqueada,U$S 130.000,90,https://www.gallito.com.uy/muy-linda-casa-luminosa-3-dorm-parrillero-inmuebles-20689163
2 Dormitorios en Prado,U$S 130.000,71,https://www.gallito.com.uy/ph-en-planta-baja-en-excelente-punto-inmuebles-21015390
2 Dormitorios en Prado,U$S 130.000,80,https://www.gallito.com.uy/casablanca-a-pasos-de-millan-ph-gemela-en-planta-baja-inmuebles-20453256
3 Dormitorios en La Blanqueada,U$S 130.000,90,https://www.gallito.com.uy/casa-en-la-blanqueada-inmuebles-21084308
3 Dormitorios en Malvin Norte,U$S 132.000,120,https://www.gallito.com.uy/venta-casa-3-dormitorios-malvin-norte-con-patio-y-parrillero-inmuebles-20906056
4 Dormitorios en Piedras Blancas,U$S 135.000,670,https://www.gallito.com.uy/piedras-blancas-a-metros-de-av-belloni-inmuebles-20362834
3 Dormitorios en Jacinto Vera,U$S 135.000,68,https://www.gallito.com.uy/comoda-propiedad-horizontal-en-jacinto-vera-trato-directo-inmuebles-20689274
2 Dormitorios en Reducto,U$S 135.000,100,https://www.gallito.com.uy/casablanca-hermosa-planta-alta-excelente-metraje-inmuebles-18310553
4 Dormitorios en Tres Cruces,U$S 135.000,,https://www.gallito.com.uy/a-metros-de-tres-cruces-haedo-y-paullier-inmuebles-20507013
3 Dormitorios en Atahualpa,U$S 135.000,206,https://www.gallito.com.uy/casa-venta-atahualpa-montevideo-imasuy-r-inmuebles-19488093
2 Dormitorios en Carrasco,U$S 135.000,85,https://www.gallito.com.uy/con-renta-casa-en-carrasco-norte-prox-colegio-british-inmuebles-20931161
2 Dormitorios en Cerrito,U$S 140.000,165,https://www.gallito.com.uy/dos-casas-en-el-mismo-padron-en-excelente-estado-inmuebles-20765610
3 Dormitorios en Capurro,U$S 140.000,98,https://www.gallito.com.uy/casa-en-capurro-pu-3-dormitorios-gge-y-patio-inmuebles-18568539
