desc,valor,metraje,url,lat,lng
2 Dormitorios en Nuevo Paris,U$S 70.000,70.0,https://www.gallito.com.uy/vendo-casa-de-2-dormitorios-en-nuevo-paris-inmuebles-21764110,-34.83968,-56.2514
2 Dormitorios en Paso De La Arena,U$S 70.000,70.0,https://www.gallito.com.uy/tomkinson-500-metros-de-terreno-con-casa-de-2-dormitorios-inmuebles-20583980,-34.85012,-56.28829
3 Dormitorios en Colon,U$S 73.000,114.0,https://www.gallito.com.uy/casa-con-cochera-fondo-y-barbacoa-acepta-banco-inmuebles-21551933,-34.81755,-56.22433
3 Dormitorios en Malvin,U$S 74.000,,https://www.gallito.com.uy/excelente-casa-en-parque-guarani-de-3-dormitorios-con-garage-inmuebles-21820653,-34.85879,-56.11917
3 Dormitorios en Maroñas,U$S 74.000,100.0,https://www.gallito.com.uy/excelente-parque-guarani-garaje-x2-jardin-fondo-parrillero-inmuebles-21928136,,
3 Dormitorios en Paso Molino,U$S 75.000,86.0,https://www.gallito.com.uy/vende-casa-3-dormitorios-paso-molino-inmuebles-20924034,-34.86092,-56.21873
3 Dormitorios en Paso De La Arena,U$S 75.000,79.0,https://www.gallito.com.uy/casa-con-jardin-y-entrada-para-varios-autos-inmuebles-20423819,-34.83583,-56.26887
2 Dormitorios en Ituzaingo,U$S 75.000,50.0,https://www.gallito.com.uy/opotunidad-para-inversores-o-vivienda-propia-para-familia-inmuebles-22044686,-34.85133,-56.1391
2 Dormitorios en La Teja,U$S 77.000,72.0,https://www.gallito.com.uy/casa-padron-unico-dos-dormitorios-reciclada-inmuebles-21447162,-34.86367,-56.21858
1 Dormitorio en Reducto,U$S 77.900,38.0,https://www.gallito.com.uy/venta-casa-ph-al-frente-barrio-reducto-inmuebles-21880629,-34.88225,-56.1836
2 Dormitorios en Sayago,U$S 78.000,,https://www.gallito.com.uy/casa-en-venta-2-dormitorios-sayago-inmuebles-21360529,,
2 Dormitorios en Colon,U$S 78.000,,https://www.gallito.com.uy/casa-en-venta-2-dormitorios-conciliacion-colon-inmuebles-21360512,,
2 Dormitorios en Maroñas,U$S 78.000,50.0,https://www.gallito.com.uy/venta-casa-2-dormitorios-fondo-jardin-ituzaingo-inmuebles-21334314,-34.84839,-56.13385
2 Dormitorios en Peñarol,U$S 78.000,,https://www.gallito.com.uy/casa-en-venta-2-dormitorios-peñarol-inmuebles-21908476,,
4 Dormitorios en J. Hipodromo,U$S 79.000,146.0,https://www.gallito.com.uy/dos-casas-en-1-padron-a-12-cuadra-de-avda-j-belloni-inmuebles-21679783,-34.83989,-56.13662
2 Dormitorios en Brazo Oriental,U$S 79.000,56.0,https://www.gallito.com.uy/buena-oportunidad-en-muy-buena-ubicacion-inmuebles-21751987,-34.86896,-56.18046
2 Dormitorios en Piedras Blancas,U$S 79.000,85.0,https://www.gallito.com.uy/casa-venta-2-dorm-con-construc-ocpcion-mas-dorm-regularizada-inmuebles-21780802,-34.82246,-56.13784
2 Dormitorios en La Comercial,U$S 79.000,74.0,https://www.gallito.com.uy/vende-casa-2-dormitorios-altillo-y-azotea-acepta-banco-inmuebles-21507505,-34.88695,-56.17782
2 Dormitorios en Jacinto Vera,U$S 79.000,93.0,https://www.gallito.com.uy/venta-de-casa-o-local-con-93-m2-al-frente-para-reciclar-inmuebles-20640241,-34.87859,-56.17031
3 Dormitorios en La Teja,U$S 79.000,70.0,https://www.gallito.com.uy/casa-3-dormitorios-jardin-y-fondo-independiente-inmuebles-22090233,,
3 Dormitorios en Belvedere,U$S 79.000,85.0,https://www.gallito.com.uy/casa-esquina-inmuebles-21077832,-34.85405,-56.23343
2 Dormitorios en Ituzaingo,U$S 80.000,80.0,https://www.gallito.com.uy/solida-y-amplia-edificacion-a-reciclar-inmuebles-22196033,-34.90721,-56.19027
4 Dormitorios en La Teja,U$S 82.000,75.0,https://www.gallito.com.uy/imperdible-padron-unico-a-mts-cmramirez-inmuebles-21313611,-34.86532,-56.2373
2 Dormitorios en La Comercial,U$S 85.000,,https://www.gallito.com.uy/rivadavia-y-requena-excelente-reciclaje-2-dormitorios-inmuebles-16087820,,
1 Dormitorio en Jacinto Vera,U$S 85.000,47.0,https://www.gallito.com.uy/hermosa-casa-cerca-de-nuevo-centro-shopping-inmuebles-21779772,-34.87303,-56.17962
2 Dormitorios en Goes,U$S 85.000,,https://www.gallito.com.uy/098905168-inmuebles-16087831,,
2 Dormitorios en Cerro,U$S 85.000,80.0,https://www.gallito.com.uy/casa-con-frente-fondo-y-cochera-a-reparar-inmuebles-22257890,-34.87722,-56.25958
2 Dormitorios en Brazo Oriental,U$S 85.000,70.0,https://www.gallito.com.uy/imperdible-frente-planta-alta-con-balcon-y-azotea-inmuebles-21765186,-34.86303,-56.17906
2 Dormitorios en Jacinto Vera,U$S 85.000,,https://www.gallito.com.uy/rivadavia-y-requena-excelente-reciclaje-2-dormitorios-inmuebles-16087826,,
3 Dormitorios en Nuevo Paris,U$S 86.000,142.0,https://www.gallito.com.uy/con-terreno-garaje-y-parrillero-inmuebles-22173576,-34.843,-56.24652
3 Dormitorios en Casavalle,U$S 86.000,108.0,https://www.gallito.com.uy/oportunidad-3-dorm-para-inversion-inmuebles-21821060,-34.81311,-56.17469
3 Dormitorios en Ituzaingo,U$S 87.000,88.0,https://www.gallito.com.uy/padron-esquina-muy-proximo-al-hipodromo-inmuebles-22184340,-34.84742,-56.14499
2 Dormitorios en Union,U$S 88.000,73.0,https://www.gallito.com.uy/venta-casa-union-con-azotea-exclusiva-inmuebles-21776599,,
2 Dormitorios en Peñarol,U$S 88.000,70.0,https://www.gallito.com.uy/oportunidad-excelente-construccion-si-banco-094082543-inmuebles-22025088,,
2 Dormitorios en Nuevo Centro,U$S 88.000,69.0,https://www.gallito.com.uy/venta-casa-2-dorm-en-malvin-con-patio-y-jardin-inmuebles-21907982,-34.87557,-56.10288
3 Dormitorios en Paso De La Arena,U$S 89.000,115.0,https://www.gallito.com.uy/excelente-oportunidad-de-negocio-dos-casas-con-buen-terreno-inmuebles-22165698,-34.8496,-56.27855
4 Dormitorios en Piedras Blancas,U$S 89.000,124.0,https://www.gallito.com.uy/sp-curupu-y-tnte-galeano-2-casas-mismo-padron-todo-impecable-inmuebles-21335543,-34.82693,-56.14924
3 Dormitorios en Cerro,U$S 89.000,,https://www.gallito.com.uy/excelente-padron-unico-con-garaje-fondo-barbacoa-inmuebles-21957579,,
2 Dormitorios en Cerro,U$S 89.500,81.0,https://www.gallito.com.uy/oportunidad-venta-de-casa-3-dormitorios-1-baño-a-2-cu-inmuebles-21821418,-34.87975,-56.26455
2 Dormitorios en Nuevo Paris,U$S 90.000,110.0,https://www.gallito.com.uy/linda-con-fondo-y-garaje-inmuebles-17520813,-34.84393,-56.23116
1 Dormitorio en La Blanqueada,U$S 90.000,41.0,https://www.gallito.com.uy/se-vende-apto-casa-1-dormitorio-patio-y-cochera-inmuebles-21077528,-34.88141,-56.16054
3 Dormitorios en La Comercial,U$S 92.000,,https://www.gallito.com.uy/casa-buena-construccion-para-vivir-o-empresa-buen-punto-inmuebles-20779434,,
2 Dormitorios en Cerrito,U$S 93.000,68.0,https://www.gallito.com.uy/oportunidad-con-financiacion-toda-a-nuevo-a-1-de-gral-flores-inmuebles-22019008,,
3 Dormitorios en Nuevo Paris,U$S 95.000,80.0,https://www.gallito.com.uy/casa-con-terreno-y-cochera-inmuebles-19844112,-34.84951,-56.24113
2 Dormitorios en Buceo,U$S 95.000,46.0,https://www.gallito.com.uy/baldovino-casa-buceo-alicia-goyena-y-neyra-inmuebles-22224667,,
3 Dormitorios en Nuevo Paris,U$S 95.000,80.0,https://www.gallito.com.uy/casa-con-terreno-y-cochera-inmuebles-19844113,-34.84951,-56.24113
4 Dormitorios en Nuevo Paris,U$S 95.000,160.0,https://www.gallito.com.uy/casa-4-dormitorios-y-terreno-inmuebles-19742848,-34.84844,-56.24045
2 Dormitorios en Reducto,U$S 97.000,63.0,https://www.gallito.com.uy/dueño-vende-inmuebles-21999741,-34.90721,-56.19027
2 Dormitorios en Belvedere,U$S 98.000,60.0,https://www.gallito.com.uy/proxima-centro-comercial-paso-molino-inmuebles-22253333,-34.84405,-56.22179
2 Dormitorios en Cerro,U$S 98.000,141.0,https://www.gallito.com.uy/venta-ph-en-cerro-hasta-4-lugares-de-garaje-imperdible-inmuebles-21784615,-34.87876,-56.25224
3 Dormitorios en Union,U$S 98.000,105.0,https://www.gallito.com.uy/casa-union-inmuebles-22095235,-34.88037,-56.13906
3 Dormitorios en Buceo,U$S 98.500,100.0,https://www.gallito.com.uy/oportunidad-vendo-por-viaje-linda-casa-inmuebles-21927979,-34.90721,-56.19027
3 Dormitorios en Villa Española,U$S 99.000,,https://www.gallito.com.uy/casa-3-dormitorios-proximo-antel-arena-inmuebles-21569697,,
2 Dormitorios en Carrasco Norte,U$S 99.000,90.0,https://www.gallito.com.uy/casa-de-2-dormitorios-en-carrasco-norte-inmuebles-21597178,-34.87296,-56.08835
2 Dormitorios en Union,U$S 99.000,54.0,https://www.gallito.com.uy/casa-en-venta-union-lars-inmuebles-21015583,-34.88373,-56.13028
3 Dormitorios en Tres Cruces,U$S 99.000,115.0,https://www.gallito.com.uy/casa-en-propiedad-horizontal-completamente-a-reciclar-inmuebles-20142752,-34.88913,-56.16979
2 Dormitorios en Brazo Oriental,U$S 99.000,91.0,https://www.gallito.com.uy/padron-unico-magested-y-burgues-inmuebles-19353334,-34.86464,-56.18628
2 Dormitorios en Capurro,U$S 99.000,100.0,https://www.gallito.com.uy/casa-en-capurro-a-metros-de-la-avenida-inmuebles-19506634,-34.87007,-56.21209
2 Dormitorios en La Teja,U$S 99.500,143.0,https://www.gallito.com.uy/casa-y-apartamento-inmuebles-17520801,-34.8598,-56.23609
Más de 4 dormitorios en La Comercial,U$S 100.000,,https://www.gallito.com.uy/casa-terreno-en-venta-la-comercial-inmuebles-21868766,,
2 Dormitorios en Malvin Norte,U$S 100.000,55.0,https://www.gallito.com.uy/casa-2-dorm-en-venta-en-malvin-norte-con-cochera-inmuebles-21546888,-34.88087,-56.11155
2 Dormitorios en Malvin Norte,U$S 100.000,43.0,https://www.gallito.com.uy/venta-casa-2-dormitorios-en-malvin-norte-ley-vis-inmuebles-22044754,-34.88084,-56.11146
2 Dormitorios en Brazo Oriental,U$S 105.000,54.0,https://www.gallito.com.uy/reciclada-ubicada-en-un-muy-lindo-punto-a-mts-de-br-inmuebles-20980342,-34.86972,-56.17665
2 Dormitorios en Capurro,U$S 105.000,70.0,https://www.gallito.com.uy/casablanca-ph-al-frente-impecable-inmuebles-12947815,-34.86977,-56.21681
2 Dormitorios en Punta Gorda,U$S 105.000,68.0,https://www.gallito.com.uy/casa-de-2-dormitorios-punta-gorda-cooperativa-muy-linda-inmuebles-20154055,-34.88852,-56.085
3 Dormitorios en La Teja,U$S 105.000,90.0,https://www.gallito.com.uy/casa-con-cochera-y-fondo-teja-sur-inmuebles-20651589,-34.86715,-56.223
